"","ID_Num","VB_ID","FIRE_NAME","FIRE_YEAR","WFU","Veg","NUM_ASSESS","AGENCY","ICS_CODE","PCT_FS","FIRESIZE_HA","BA90_HA","BA90_PCT","BA90_PCT_integer","MaxPatch_HA","MaxPatch_PCT_of_HS","MaxPatch_PCT_of_firesize","TCA100_BA90_HA","TCA100_Pct_of_fireSize","TCA100_Pct_of_BA90","TCA200_BA90_HA","TCA200_Pct_of_fireSize","TCA200_Pct_of_BA90","SDI_LOG","SEI_LOG","SDI_LOG200","SEI_LOG200","SDI_LOGMN1MX200","SEI_LOGMN1MX200","SIMDI_LOGMX200","SIMDI_LOGMN1MX200","SDI_LIN5","SEI_LIN5","SEI_LIN5_MaxP_GT_40ha","Nptype_LIN5","SDI_LIN5_max400","SEI_LIN5_max400","SDI_LIN5_max200","SEI_LIN5_max200","SDI_LIN5_min1max200","SEI_LIN5_min1max200","SIMDI_LIN5MAX200","SIMDI_LIN5MIN1MAX200","MPS","N","MEDPS","PSCOV","PSSD","q"
"2",2,"1984YNP_023"," ",1984,"yes","Forest",1,"NPS","YNP",0,299,10,3.2,3,4,43.4,1.4,0,0,0,0,0,0,0,NA,1.402,0.783,0.571,0.824,0.707,0.383,0,NA,NA,NA,0,NA,0,NA,0,NA,0,0,0.8,12,0.495,134.334,1.068,-0.0271335450286818
"3",3,"1985BARTLETT","BARTLETT",1985,"yes","Forest",1,"NPS","YNP",0,427,88,20.7,20,70,79,16.4,5.6,1.3,6.4,0,0,0,0.637,0.58,0.816,0.393,0.66,0.476,0.362,0.321,0.637,0.58,0.58,3,0.637,0.58,0.637,0.58,0.594,0.54,0.349,0.315,4.91,18,1.035,321.631,15.792,-0.0111586734628874
"4",4,"1985BUCK","BUCK",1985,"yes","Forest",1,"NPS","YNP",0,141,24,17.2,17,11,43.7,7.5,0,0,0,0,0,0,1.047,0.953,1.286,0.661,0.966,0.879,0.658,0.592,1.047,0.953,NA,3,1.047,0.953,1.047,0.953,0.966,0.879,0.635,0.592,2.43,10,0.405,155.229,3.772,-0.0197746276624641
"10",8,"1985DOUGHERTY","DOUGHERTY",1985,"yes","Forest",1,"NPS","KNP",0,1072,79,7.4,7,26,32.9,2.4,2.5,0.2,3.2,0,0,0,1.353,0.976,1.745,0.794,1.518,0.943,0.792,0.762,1.353,0.976,NA,4,1.353,0.976,1.353,0.976,1.356,0.978,0.733,0.734,2.56,31,0.81,206.322,5.277,-0.0145927477660509
"11",9,"1985KENDRICK","KENDRICK",1985,"yes","Forest",1,"NPS","YNP",0,507,30,5.9,5,6,21.5,1.3,0,0,0,0,0,0,0.52,0.75,1.388,0.713,0.851,0.774,0.686,0.511,0.52,0.75,NA,2,0.52,0.75,0.52,0.75,0.599,0.864,0.337,0.409,1.24,24,0.585,132.809,1.648,-0.022455474951017
"13",12,"1985PATE_VALLEY","PATE VALLEY",1985,"no","Forest",1,"NPS","YNP",0,713,138,19.3,19,77,56,10.8,18.9,2.7,13.7,1.5,0.2,1.1,1.152,0.831,1.389,0.632,1.236,0.768,0.64,0.614,1.152,0.831,0.831,4,1.152,0.831,1.152,0.831,1.13,0.815,0.617,0.602,3.94,35,0.45,326.984,12.873,-0.00783881467243034
"18",17,"1986CASCADE_CREEK","CASCADE CREEK",1986,"yes","Forest",1,"NPS","YNP",0,837,16,1.9,1,7,47.2,0.9,0,0,0,0,0,0,0.692,0.998,1.376,0.768,0.645,0.931,0.688,0.453,0.692,0.998,NA,2,0.692,0.998,0.692,0.998,0.645,0.931,0.498,0.453,0.88,18,0.225,206.878,1.821,-0.0235462321961235
"20",19,"1986GLACIER_POINT","GLACIER POINT",1986,"no","Forest",1,"NPS","YNP",0,278,122,43.8,43,98,80.7,35.4,26.3,9.5,21.6,1.5,0.5,1.2,0.664,0.479,0.686,0.352,0.586,0.533,0.332,0.308,0.664,0.479,0.479,4,0.664,0.479,0.664,0.479,0.586,0.533,0.332,0.308,10.14,12,0.315,264.836,26.854,-0.0053444225195621
"21",407,"1987ASSIST_PNF","ASSIST P.N.F.",1987,"no","Forest",1,"CDF","LMU",NA,499,244,49,49,201,82.2,40.3,116.7,23.4,47.7,59.8,12,24.5,NA,NA,0.596,0.333,NA,NA,0.307,NA,NA,NA,NA,NA,NA,NA,0.671,0.417,NA,NA,0.313,NA,30.555,8,7.245,211.621,64.661,-0.00322922931104018
"24",22,"1987BETTY_BLAKE","BETTY BLAKE",1987,"yes","Forest",1,"NPS","YNP",0,159,16,9.8,9,13,86.1,8.4,0,0,0,0,0,0,0.403,0.581,0.508,0.367,0.318,0.459,0.248,0.175,0.403,0.581,NA,2,0.403,0.581,0.403,0.581,0.318,0.459,0.239,0.175,3.89,4,1.035,141.706,5.516,-0.0146488291505211
"31",29,"1987CLARK","PLUMAS NF #531 (CLARK)",1987,"no","Forest",1,"CDF","BTU",73,15861,5351,33.7,33,781,14.6,4.9,1199.6,7.6,22.4,326.6,2.1,6.1,1.682,0.809,1.472,0.592,1.351,0.65,0.603,0.58,2.695,0.885,0.885,21,1.822,0.643,1.615,0.583,1.59,0.573,0.608,0.589,7.68,697,0.54,689.87,52.963,-0.0037082867727053
