,name,width,area_ha,prop.hs
1,1984YNP_023,0,10.62000171,1
2,1984YNP_023,10,6.005964216,0.565533263
3,1984YNP_023,20,3.059656202,0.288103174
4,1984YNP_023,30,1.559428977,0.146838863
5,1984YNP_023,40,0.706845243,0.066557922
6,1984YNP_023,50,0.219614389,0.020679318
7,1984YNP_023,60,0.05697036,0.00536444
8,1984YNP_023,70,0,0
9,1985BARTLETT,0,92.33999833,1
10,1985BARTLETT,10,71.97036342,0.779406159
11,1985BARTLETT,20,55.07264472,0.596411584
12,1985BARTLETT,30,42.3584216,0.458722356
13,1985BARTLETT,40,33.0238044,0.357632716
14,1985BARTLETT,50,25.72608304,0.278601727
15,1985BARTLETT,60,20.23972816,0.21918701
16,1985BARTLETT,70,15.8174136,0.171295364
17,1985BARTLETT,80,12.27864895,0.132972159
18,1985BARTLETT,90,9.327792505,0.101015732
19,1985BARTLETT,100,6.946385292,0.07522618
20,1985BARTLETT,110,4.977592744,0.053905056
21,1985BARTLETT,120,3.565960956,0.038617728
22,1985BARTLETT,130,2.758627288,0.029874673
23,1985BARTLETT,140,2.100261169,0.022744869
24,1985BARTLETT,150,1.523704492,0.016501024
25,1985BARTLETT,160,1.034063336,0.011198434
26,1985BARTLETT,170,0.642467601,0.006957631
27,1985BARTLETT,180,0.341608867,0.003699468
28,1985BARTLETT,190,0.125833738,0.001362722
29,1985BARTLETT,200,0,0
30,1985BUCK,0,26.09999506,1
31,1985BUCK,10,18.15239178,0.69549407
32,1985BUCK,20,11.66620692,0.446981193
33,1985BUCK,30,6.567329032,0.25162185
34,1985BUCK,40,3.418025383,0.130958852
35,1985BUCK,50,1.58610641,0.060770372
36,1985BUCK,60,0.692987103,0.026551235
37,1985BUCK,70,0.16006343,0.0061327
38,1985BUCK,80,0,0
39,1985DOUGHERTY,0,85.77000621,1
40,1985DOUGHERTY,10,62.12539212,0.724325377
41,1985DOUGHERTY,20,44.22826157,0.515661168
42,1985DOUGHERTY,30,31.42248277,0.366357473
43,1985DOUGHERTY,40,22.47594399,0.262048996
44,1985DOUGHERTY,50,15.86911636,0.185019415
45,1985DOUGHERTY,60,11.19504772,0.13052404
46,1985DOUGHERTY,70,7.641719857,0.08909548
47,1985DOUGHERTY,80,5.439140461,0.063415414
48,1985DOUGHERTY,90,3.912973332,0.045621698
49,1985DOUGHERTY,100,2.852506668,0.033257625
50,1985DOUGHERTY,110,2.044462594,0.023836568
51,1985DOUGHERTY,120,1.325183266,0.015450428
52,1985DOUGHERTY,130,0.702113797,0.008186006
53,1985DOUGHERTY,140,0.300516705,0.003503751
54,1985DOUGHERTY,150,0.007129381,8.31E-05
55,1985DOUGHERTY,160,0,0
56,1985KENDRICK,0,31.95000192,1
57,1985KENDRICK,10,20.56106584,0.643538798
58,1985KENDRICK,20,12.32579662,0.385783909
59,1985KENDRICK,30,6.587515938,0.20618202
60,1985KENDRICK,40,3.162269011,0.09897555
61,1985KENDRICK,50,1.143815668,0.035800175
62,1985KENDRICK,60,0.227246044,0.007112552
63,1985KENDRICK,70,0.012044183,0.00037697
64,1985KENDRICK,80,0,0
65,1985PATE_VALLEY,0,143.6399991,1
66,1985PATE_VALLEY,10,115.5195445,0.804229638
67,1985PATE_VALLEY,20,92.78585693,0.645961136
68,1985PATE_VALLEY,30,74.87046637,0.52123689
69,1985PATE_VALLEY,40,61.39425177,0.427417517
70,1985PATE_VALLEY,50,51.21503416,0.35655134
71,1985PATE_VALLEY,60,43.85385075,0.305303892
72,1985PATE_VALLEY,70,38.20855983,0.266002228
73,1985PATE_VALLEY,80,33.85452558,0.235690099
74,1985PATE_VALLEY,90,30.37693613,0.211479646
75,1985PATE_VALLEY,100,27.3447603,0.190370095
76,1985PATE_VALLEY,110,24.73770814,0.172220191
77,1985PATE_VALLEY,120,22.46801455,0.156418927
78,1985PATE_VALLEY,130,20.36858375,0.141803007
79,1985PATE_VALLEY,140,18.41335693,0.128191013
80,1985PATE_VALLEY,150,16.54032501,0.115151247
81,1985PATE_VALLEY,160,14.74793676,0.10267291
82,1985PATE_VALLEY,170,13.04438197,0.090813019
83,1985PATE_VALLEY,180,11.42422752,0.079533748
84,1985PATE_VALLEY,190,9.885151131,0.068818931
85,1985PATE_VALLEY,200,8.422752378,0.058637931
86,1985PATE_VALLEY,210,7.047536379,0.049063885
87,1985PATE_VALLEY,220,5.778717687,0.040230561
88,1985PATE_VALLEY,230,4.650030616,0.032372812
89,1985PATE_VALLEY,240,3.639761235,0.025339469
90,1985PATE_VALLEY,250,2.770586485,0.019288405
91,1985PATE_VALLEY,260,2.006783178,0.013970922
92,1985PATE_VALLEY,270,1.335758703,0.009299351
93,1985PATE_VALLEY,280,0.792868274,0.005519829
94,1985PATE_VALLEY,290,0.430478893,0.002996929
95,1985PATE_VALLEY,300,0.185215971,0.001289446
96,1985PATE_VALLEY,310,0.044298774,0.000308401
97,1985PATE_VALLEY,320,0,0
98,1986CASCADE_CREEK,0,17.55000119,1
99,1986CASCADE_CREEK,10,10.55463216,0.601403501
100,1986CASCADE_CREEK,20,5.987663601,0.34117739
101,1986CASCADE_CREEK,30,3.327444338,0.189597955
102,1986CASCADE_CREEK,40,2.031500568,0.11575501
103,1986CASCADE_CREEK,50,1.071350584,0.061045613
104,1986CASCADE_CREEK,60,0.376769177,0.021468328
105,1986CASCADE_CREEK,70,0.059541859,0.003392698
106,1986CASCADE_CREEK,80,0,0
107,1986GLACIER_POINT,0,125.3700001,1
108,1986GLACIER_POINT,10,109.779815,0.875646605
109,1986GLACIER_POINT,20,96.56421123,0.770233797
110,1986GLACIER_POINT,30,85.58569852,0.682664899
111,1986GLACIER_POINT,40,76.28600405,0.60848691
112,1986GLACIER_POINT,50,67.96576512,0.542121441
113,1986GLACIER_POINT,60,60.59979607,0.4833676
114,1986GLACIER_POINT,70,54.11318708,0.431627878
115,1986GLACIER_POINT,80,48.28692293,0.385155323
116,1986GLACIER_POINT,90,42.93938938,0.342501311
117,1986GLACIER_POINT,100,38.21282044,0.304800354
118,1986GLACIER_POINT,110,33.97516183,0.270999137
119,1986GLACIER_POINT,120,30.18771368,0.240788974
120,1986GLACIER_POINT,130,26.79339419,0.213714558
121,1986GLACIER_POINT,140,23.85230334,0.190255271
122,1986GLACIER_POINT,150,21.16261269,0.16880125
123,1986GLACIER_POINT,160,18.67074276,0.148925124
124,1986GLACIER_POINT,170,16.2870168,0.129911596
125,1986GLACIER_POINT,180,13.99491917,0.111628932
126,1986GLACIER_POINT,190,11.79425342,0.094075564
127,1986GLACIER_POINT,200,9.687972849,0.077275049
128,1986GLACIER_POINT,210,7.679027804,0.06125092
129,1986GLACIER_POINT,220,5.97643774,0.047670397
130,1986GLACIER_POINT,230,4.531360485,0.036143898
131,1986GLACIER_POINT,240,3.243345304,0.025870187
132,1986GLACIER_POINT,250,2.071610219,0.016523971
133,1986GLACIER_POINT,260,1.191406179,0.00950312
134,1986GLACIER_POINT,270,0.56084756,0.004473539
135,1986GLACIER_POINT,280,0.161190598,0.001285719
136,1986GLACIER_POINT,290,0.01890933,0.000150828
137,1986GLACIER_POINT,300,0,0
138,1987ASSIST_PNF,0,248.0399342,1
139,1987ASSIST_PNF,10,225.7617537,0.91018309
140,1987ASSIST_PNF,20,206.5482548,0.832721777
141,1987ASSIST_PNF,30,190.7309944,0.76895277
142,1987ASSIST_PNF,40,177.1540953,0.714216023
143,1987ASSIST_PNF,50,165.6105614,0.667677009
144,1987ASSIST_PNF,60,154.5799998,0.623206099
145,1987ASSIST_PNF,70,144.7066601,0.583400655
146,1987ASSIST_PNF,80,135.7324238,0.547220045
147,1987ASSIST_PNF,90,127.4743305,0.513926642
148,1987ASSIST_PNF,100,119.6797932,0.482502117
149,1987ASSIST_PNF,110,112.2768372,0.452656293
150,1987ASSIST_PNF,120,105.2653431,0.424388692
151,1987ASSIST_PNF,130,98.6488858,0.397713724
152,1987ASSIST_PNF,140,92.31150785,0.372163894
153,1987ASSIST_PNF,150,86.4417762,0.348499432
154,1987ASSIST_PNF,160,81.09841523,0.326957091
155,1987ASSIST_PNF,170,76.06187373,0.306651725
156,1987ASSIST_PNF,180,71.19679449,0.287037629
157,1987ASSIST_PNF,190,66.51270669,0.268153219
158,1987ASSIST_PNF,200,61.98184799,0.249886568
159,1987ASSIST_PNF,210,57.57176861,0.232106853
160,1987ASSIST_PNF,220,53.2784343,0.214797809
161,1987ASSIST_PNF,230,49.09651306,0.197937938
162,1987ASSIST_PNF,240,45.05311847,0.181636552
163,1987ASSIST_PNF,250,41.15442003,0.165918525
164,1987ASSIST_PNF,260,37.47862741,0.151099167
165,1987ASSIST_PNF,270,34.22537105,0.13798331
166,1987ASSIST_PNF,280,31.13489513,0.12552372
167,1987ASSIST_PNF,290,28.15538196,0.113511488
168,1987ASSIST_PNF,300,25.28089753,0.101922691
169,1987ASSIST_PNF,310,22.50804826,0.090743647
170,1987ASSIST_PNF,320,19.85843109,0.080061427
171,1987ASSIST_PNF,330,17.33266467,0.069878525
172,1987ASSIST_PNF,340,14.95044586,0.06027435
173,1987ASSIST_PNF,350,12.69395638,0.051177067
174,1987ASSIST_PNF,360,10.55008124,0.042533801
175,1987ASSIST_PNF,370,8.604270222,0.034689052
176,1987ASSIST_PNF,380,6.901814783,0.027825418
177,1987ASSIST_PNF,390,5.333204911,0.021501396
178,1987ASSIST_PNF,400,3.892150922,0.01569163
179,1987ASSIST_PNF,410,2.57013474,0.010361778
180,1987ASSIST_PNF,420,1.449335305,0.005843153
181,1987ASSIST_PNF,430,0.581881769,0.00234592
182,1987ASSIST_PNF,440,0.181348371,0.000731126
183,1987ASSIST_PNF,450,0.014649745,5.91E-05
184,1987ASSIST_PNF,460,0,0
185,1987BETTY_BLAKE,0,16.10999514,1
186,1987BETTY_BLAKE,10,12.24505636,0.76009063
187,1987BETTY_BLAKE,20,9.057217777,0.562211081
188,1987BETTY_BLAKE,30,6.440736754,0.39979756
189,1987BETTY_BLAKE,40,4.499846277,0.279320151
190,1987BETTY_BLAKE,50,2.808238038,0.174316504
191,1987BETTY_BLAKE,60,1.431307987,0.08884596
192,1987BETTY_BLAKE,70,0.571584607,0.035480123
193,1987BETTY_BLAKE,80,0.141225817,0.008766348
194,1987BETTY_BLAKE,90,0.005240353,0.000325286
195,1987BETTY_BLAKE,100,0,0
196,1987CLARK,0,5787.629935,1
197,1987CLARK,10,5056.799809,0.873725491
198,1987CLARK,20,4449.296789,0.768759724
199,1987CLARK,30,3955.346774,0.683413905
200,1987CLARK,40,3550.538963,0.613470281
201,1987CLARK,50,3228.779561,0.557875952
