VB_ID,ID_Num,FIRE_NAME,FIRE_YEAR,WFU,Veg,AGENCY,ICS_CODE,PCT_FS,FIRESIZE_HA,BA90_HA,BA90_PCT,MaxPatch_HA,IGNITION_DATE,CONT_DATE,sdc,MSI,AWMSI,MPFD,AWMPFD
1984BADGER,6,BADGER,1984,no,Forest,"USF,NPS",LNF,25.71,450,79,17.5,34,19840718,0,0.00934432102589205,0.06244320808274894,0.023261110729785473,1.3679153967473723,1.3255037882680494
1984YNP_023,1, ,1984,yes,Forest,NPS,YNP,0.0,299,10,3.2,4,19840000,19840000,0.027543350031245643,0.07496790711087517,0.04905659554189109,1.3699579851053152,1.3526266575245502
1985BARTLETT,29,BARTLETT,1985,yes,Forest,NPS,YNP,0.0,427,88,20.7,70,19850725,19851110,0.011226786241690377,0.07068339574858683,0.023147208477211953,1.371940919359604,1.3892032426094456
1985BUCK,31,BUCK,1985,yes,Forest,NPS,YNP,0.0,141,24,17.2,11,19850809,19851110,0.0207182504882922,0.07920000334696269,0.03345633165483177,1.3802835035030878,1.377202866471361
1985CAENF00000066,21,1985CAENF00000066,1985,no,Forest,USF,ENF,42.04,129,43,33.6,37,19850810,19850812,0.007471912882121956,0.04051571525161516,0.014414415255619258,1.3329930260509166,1.3171511389895074
1985CAINF00000070,22,1985CAINF00000070,1985,no,Forest,USF,INF,88.54,87,5,5.8,1,19850817,19850817,0.02872691822970577,0.04715342624461375,0.04642854293059372,1.333265364814775,1.334121868494561
1985CALNF00000031,24,1985CALNF00000031,1985,no,Forest,USF,LNF,98.81,89,42,47.0,42,19850717,19850720,0.011126673648807428,0.01799855974615788,0.01799855974615788,1.37906866349317,1.37906866349317
1985CALNF00000069,25,1985CALNF00000069,1985,no,Forest,USF,LNF,99.98,217,127,58.4,121,19851020,19851024,0.005133480781616547,0.06490488951208245,0.00962541518604468,1.3618105925775563,1.3196440816145585
1985DELTA,33,DELTA,1985,no,Forest,USF,SHF,5.64,848,401,47.3,386,19850718,19850721,0.0018458994413961274,0.08216932138142116,0.005991843773123638,1.374862142469955,1.299434845536458
1985DOUGHERTY,34,DOUGHERTY,1985,yes,Forest,NPS,KNP,0.0,1072,79,7.4,26,19850625,19851013,0.014472850907653831,0.06966800964964465,0.028982214580748955,1.3684365372052938,1.3516712473131736
1985KENDRICK,37,KENDRICK,1985,yes,Forest,NPS,YNP,0.0,507,30,5.9,6,19850725,19850000,0.022775036466551022,0.07354256804223515,0.03927491950774764,1.3651930849261025,1.3449495852671884
1985MAMMOTH,40,MAMMOTH,1985,no,Forest,USF,SNF,70.7,316,29,9.3,29,19850702,19850704,0.008397389331050796,0.060014273096670526,0.015086642444540513,1.3665309211970775,1.3153641490821655
1985PATE_VALLEY,42,PATE VALLEY,1985,no,Forest,NPS,YNP,0.0,713,138,19.3,77,19850630,19850707,0.007822314565533502,0.07525480752377647,0.0211866243349546,1.3752940392977522,1.3414938961759424
1985RICH_BAR,43,RICH BAR,1985,no,Forest,USF,SQF,79.38,3295,1307,39.7,507,19850628,19850630,0.006706644470629071,0.07186415613006977,0.018490130154550734,1.373474494075198,1.3996448050656878
1985RIVER,44,RIVER,1985,no,Forest,USF,STF,100.0,134,8,6.2,5,19850831,19850902,0.02543544015847936,0.06673952648303891,0.04202900601051513,1.3681964653623266,1.3629974190301288
1985TRELOAR_CMPLX,48,TRELOAR COMPLEX,1985,no,Forest,USF,SHF,100.0,1612,243,15.1,115,19850726,19850806,0.008596314464992625,0.06658135049993089,0.021434726010931396,1.3707098856375022,1.3631254890444957
1986CAENF00000082,52,1986CAENF00000082,1986,no,Forest,USF,ENF,99.95,239,24,10.1,22,19861029,19861105,0.008843297162598258,0.05946327657989007,0.016479392319679837,1.3383882385642107,1.3130076398086838
1986CASCADE_CREEK,58,CASCADE CREEK,1986,yes,Forest,NPS,YNP,0.0,837,16,1.9,7,19860727,19860922,0.023857585724666373,0.09496034377427337,0.04507575037720412,1.3832481298788464,1.374553540949859
1986DEER,59,DEER,1986,no,Forest,USF,SNF,100.0,5349,1204,22.5,206,19860909,19860920,0.006190908153682644,0.07132123464413177,0.016762550366945447,1.3674302160498233,1.3455018192561208
1986GLACIER_POINT,61,GLACIER POINT,1986,no,Forest,NPS,YNP,0.0,278,122,43.8,98,19860627,19860701,0.005321623937315272,0.08569180898444186,0.013146922087767379,1.3887619346564832,1.322699756542839
1987ASSIST_PNF,71,ASSIST P.N.F.,1987,no,Forest,CDF,LMU,63.24,499,244,49.0,201,19870831,0,0.003251491759012426,0.06223487400081968,0.009342138786104693,1.368787298401311,1.3038234806603326
1987BEAR,72,BEAR,1987,no,Forest,USF,SHF,97.58,2132,147,6.9,35,19870830,19870914,0.011754454474529484,0.07914620241748924,0.027784572746090266,1.3758899346934494,1.331911443854386
1987BEARCAT,73,BEARCAT,1987,no,Forest,USF,KNF,94.96,1157,40,3.4,16,19870830,19870918,0.015811959117404305,0.0865556817408435,0.035267865499648034,1.3807450264241319,1.3498101412891665
1987BETTY_BLAKE,74,BETTY BLAKE,1987,yes,Forest,NPS,YNP,0.0,159,16,9.8,13,19870717,19871120,0.014884094403686932,0.06641798285005893,0.026204238596118756,1.3725061062186228,1.350330381442836
1987BIG,75,BIG,1987,no,Forest,USF,TNF,72.3,427,37,8.6,18,19870831,19870906,0.009157064235622382,0.07337165959820241,0.01998361502460039,1.3605594784912431,1.3146895210488356
1987BLAKE,76,BLAKE,1987,no,Forest,USF,SRF,99.5,1413,345,24.4,281,19870830,19870905,0.004399034879609447,0.05773093426381816,0.01150979647823344,1.3555591734055967,1.3679188004934177
1987CEDAR,78,CEDAR,1987,no,Forest,USF,MDF,83.26,283,29,10.3,10,19870901,19870912,0.01889843419005558,0.0802004994355629,0.03466666598677206,1.3830079902604506,1.3573582677049
1987CHAWANAKEE,79,CHAWANAKEE,1987,no,Forest,USF,SNF,100.0,713,48,6.7,12,19870622,19870626,0.01933254696573051,0.07479046118959405,0.037288129867653376,1.374516218649074,1.3612426947228744
1987CHINA_KNF,81,CHINA,1987,no,Forest,USF,KNF,96.11,1332,112,8.4,25,19870830,0,0.012048355160248578,0.06823308802853466,0.02496659339781706,1.361459777905204,1.3329970199006855
1987CHINA_SHF,82,CHINA,1987,no,Forest,USF,SHF,100.0,3696,726,19.6,380,19870830,19871013,0.005571799042054369,0.06859011471202488,0.015477073835038609,1.371169054763453,1.3584395041818997
1987CLARK,129,PLUMAS NF #531 (CLARK),1987,no,Forest,CDF,BTU,73.47,15861,5351,33.7,781,19870830,19870905,0.003923401813626007,0.07792910693040155,0.015418180057222761,1.3770180183219198,1.378122652724467
1987CLAVEY_CMPLX,83,CLAVEY 87 CMPLX,1987,no,Forest,USF,STF,98.1,3537,708,20.0,324,19870831,19871012,0.0063396343359945016,0.0640175380175527,0.018970737922418345,1.361232977005808,1.3702922832703903
1987COLD,84,COLD,1987,no,Forest,USF,SHF,98.37,6678,387,5.8,96,19870830,19870911,0.011504262497697475,0.07367183369563897,0.026267771133409886,1.3689744146269147,1.3477128398843108
1987DOE,85,DOE,1987,no,Forest,USF,SHF,100.0,932,256,27.5,121,19870830,0,0.0061168540918356065,0.062134224777235944,0.01430905560497088,1.364886187960845,1.3339976833129072
1987DOG_CREEK,86,DOG CREEK,1987,yes,Forest,NPS,KNP,0.0,170,11,6.3,4,19870708,19871027,0.023226847521551255,0.07422201029132199,0.04145657972260236,1.3731020074686235,1.341105292828231
1987EAST,87,EAST,1987,no,Forest,USF,SHF,97.44,4643,932,20.1,584,19870830,0,0.002091909508607983,0.07641031258003331,0.010739244794504272,1.3739309401414632,1.3163509049832125
1987ELK_LICK,88,ELK LICK,1987,no,Forest,USF,KNF,100.0,448,28,6.3,12,19870830,0,0.014369487742763047,0.07043696285002178,0.032264957314690035,1.3683386035314478,1.3472385088542245
1987EVER,89,EVER,1987,no,Forest,USF,STF,92.16,215,161,74.8,160,19870828,19870829,0.0025584681069010283,0.029600834936879015,0.006131117638982889,1.3186296918404683,1.2815404838189826
1987FAY,90,FAY,1987,no,Forest,USF,SQF,81.37,4640,1147,24.7,664,19870830,19870905,0.0028060608062496916,0.08495391210241704,0.016435077308409388,1.380054305828502,1.3754586469082482
1987FLUME,92,FLUME,1987,no,Forest,USF,SHF,100.0,5277,813,15.4,198,19870830,19870910,0.006421623290919285,0.0725041880969204,0.0185221849405968,1.369688300371488,1.3474841921479488
1987FORT_COPPER,93,FORT COPPER,1987,no,Forest,USF,KNF,94.59,14703,2842,19.3,290,19870830,19871007,0.005902440076246404,0.07335847282883748,0.015841708078513827,1.3721485471428116,1.3526125564543725
1987FOUTS,94,FOUTS,1987,no,Forest,USF,MNF,91.72,6965,1752,25.2,399,19870901,19870914,0.005544057000306503,0.076366356519944,0.01686865101299156,1.3761131849257686,1.3649233469334376
1987FRIENDLY,95,FRIENDLY,1987,no,Forest,USF,SHF,88.92,1466,407,27.7,297,19870830,19870910,0.0045923817906685805,0.07687320184269614,0.013383279864699256,1.3735526650025887,1.3632842983790343
1987FROG,96,FROG,1987,yes,Forest,NPS,YNP,0.0,1554,66,4.2,10,19870628,19871104,0.021267253312365616,0.06686936333904415,0.03701682717165848,1.3668478327527283,1.355816517847976
1987GLASGOW,97,GLASGOW,1987,no,Forest,USF,KNF,96.56,6156,1273,20.7,480,19870830,19870922,0.002580894716651687,0.08037703798693037,0.012433218571063397,1.378220337890027,1.3641515611129986
1987GLEN_AULIN,98,GLEN AULIN,1987,yes,Forest,NPS,YNP,0.0,106,23,21.5,10,19870921,19871120,0.01787376171419069,0.06564313274022784,0.03109354001810465,1.3654393170345935,1.3576639948105287
1987GULCH_KNF,99,GULCH,1987,no,Forest,USF,KNF,98.74,4435,181,4.1,18,19870830,19871012,0.016308985674194275,0.08290407062800284,0.03265509881893063,1.376820253934488,1.349075634987605
1987GULCH_SHF,100,GULCH,1987,no,Forest,USF,SHF,89.93,2652,789,29.8,520,19870830,19870911,0.004011833758814176,0.07543593540745601,0.014916355554339903,1.3723482156108884,1.3853808045454281
1987HAMM_CMPLX,102,HAMM 87 CMPLX,1987,no,Forest,USF,STF,93.66,13624,2993,22.0,431,19870830,19870913,0.0052488164156241565,0.07097149448816192,0.016415806359592017,1.3675974630996695,1.3497409856155247
1987HASLOE_CMPLX,103,HASLOE 87 CMPLX,1987,no,Forest,USF,STF,70.47,2783,1073,38.5,790,19870901,19870907,0.00453604752547217,0.07227871190044084,0.012144337039420182,1.3743926484684064,1.4003493339370636
