VB_ID,ID_Num,FIRE_NAME,FIRE_YEAR,WFU,Veg,AGENCY,ICS_CODE,PCT_FS,FIRESIZE_HA,BA90_HA,BA90_PCT,MaxPatch_HA,IGNITION_DATE,CONT_DATE,sdc,MSI,AWMSI,MPFD,AWMPFD,max_tmmx,max_tmmn,min_rmax,max_bi
1984BADGER,6,BADGER,1984,no,Forest,"USF,NPS",LNF,25.71,450,79,17.5,34,19840718,19840725.0,0.009344321033325045,0.06244320808271851,0.023261110729751032,1.3679153967468105,1.3255037882680352,28.700982666015648,12.749444580078148,68.925811767578125,59.49795913696289
1984YNP_023,1, ,1984,yes,Forest,NPS,YNP,0.0,299,10,3.2,4,19840000,19840007.0,0.027543350027810068,0.0749679071111795,0.04905659554206175,1.369957985106224,1.3526266575249895,NA,NA,NA,NA
1985BARTLETT,29,BARTLETT,1985,yes,Forest,NPS,YNP,0.0,427,88,20.7,70,19850725,19851110.0,0.011226786241826957,0.07068339574871102,0.02314720847724558,1.3719409193595398,1.389203242609747,28.901788330078148,13.290643310546898,35.165802001953125,74.7640151977539
1985BUCK,31,BUCK,1985,yes,Forest,NPS,YNP,0.0,141,24,17.2,11,19850809,19851110.0,0.020718250495415712,0.07920000334641107,0.03345633165489764,1.3802835035026015,1.3772028664718399,24.423394775390648,9.006219482421898,36.91925811767578,82.74609375
1985CAENF00000066,21,1985CAENF00000066,1985,no,Forest,USF,ENF,42.04,129,43,33.6,37,19850810,19850812.0,0.007471912883367832,0.040515715250665676,0.014414415255583206,1.3329930260495195,1.3171511389890138,27.337609863281273,12.253289794921898,43.819175720214844,59.51740646362305
1985CAINF00000070,22,1985CAINF00000070,1985,no,Forest,USF,INF,88.54,87,5,5.8,1,19850817,19850817.0,0.028726918266451563,0.047153426244693264,0.046428542930597075,1.3332653648148998,1.3341218684942977,23.654473876953148,8.136193847656273,79.45603942871094,76.22456359863281
1985CALNF00000031,24,1985CALNF00000031,1985,no,Forest,USF,LNF,98.81,89,42,47.0,42,19850717,19850720.0,0.011126673648943689,0.017998559746143415,0.017998559746143415,1.37906866349302,1.37906866349302,31.391442871093773,11.911737060546898,39.56922149658203,68.81779479980469
1985CALNF00000069,25,1985CALNF00000069,1985,no,Forest,USF,LNF,99.98,217,127,58.4,121,19851020,19851024.0,0.005133480779489846,0.06490488951278765,0.009625415186052602,1.3618105925788357,1.319644081614616,15.370172119140648,-1.3142456054687273,100.0,35.86201477050781
1985DELTA,33,DELTA,1985,no,Forest,USF,SHF,5.64,848,401,47.3,386,19850718,19850721.0,0.001919987976681644,0.08216932138186024,0.005991843773128736,1.3748621424704404,1.299434845536629,37.90740356445315,21.318322753906273,43.86848831176758,60.11606216430664
1985DOUGHERTY,34,DOUGHERTY,1985,yes,Forest,NPS,KNP,0.0,1072,79,7.4,26,19850625,19851013.0,0.014472850909452595,0.06966800964924894,0.02898221458075545,1.3684365372050105,1.3516712473132186,22.120324707031273,11.851739501953148,21.622112274169922,64.21749114990234
1985KENDRICK,37,KENDRICK,1985,yes,Forest,NPS,YNP,0.0,507,30,5.9,6,19850725,19850802.0,0.022775036479305084,0.07354256804210489,0.03927491950781444,1.3651930849261684,1.3449495852675646,26.094018554687523,12.507165527343773,54.58298873901367,66.31278228759766
