"","name","buf_width","area_ha","prop.hs"
"1","2004POWER",0,2748.51019419156,1
"2","2007ANGORA",0,637.560039569154,1
"3","2007ANTELOPE_CMPLX",0,5219.81989893384,1
"4","2007MOONLIGHT",0,15489.8100852673,1
"5","2008RICH",0,797.75992053515,1
"6","2008PIUTE",0,8246.43005169141,1
"7","2012CHIPS",0,6933.24002222337,1
"8","2013RIM",0,39618.630072587,1
"9","2014KING",0,19109.7000410256,1
"10","2015BUTTE",0,15859.8900420556,1
"11","2015ROUGH",NA,NA,NA
"12","2004POWER",10,2491.7787723664,0.906592516059168
"13","2007ANGORA",10,589.16594623333,0.924094845454042
"14","2007ANTELOPE_CMPLX",10,4879.77483253196,0.934855019332881
"15","2007MOONLIGHT",10,14687.028139934,0.948173545000605
"16","2008RICH",10,729.101228423244,0.913935646120392
"17","2008PIUTE",10,7677.05701079271,0.930955208820097
"18","2012CHIPS",10,6034.54983400578,0.870379478377067
"19","2013RIM",10,36825.2653284956,0.929493656419378
"20","2014KING",10,18150.9911112142,0.94983129364913
"21","2015BUTTE",10,14797.1060304281,0.932989194199375
"22","2015ROUGH",NA,NA,NA
"23","2004POWER",20,2270.96437134198,0.826252846411565
"24","2007ANGORA",20,547.007507115655,0.857970188165037
"25","2007ANTELOPE_CMPLX",20,4586.82242717494,0.878731932515872
"26","2007MOONLIGHT",20,13991.7475288489,0.90328722249195
"27","2008RICH",20,671.604109267655,0.841862435025731
"28","2008PIUTE",20,7179.44972041156,0.870613062307973
"29","2012CHIPS",20,5293.14108274226,0.763444084695749
"30","2013RIM",20,34467.4978951896,0.869982072374543
"31","2014KING",20,17317.7371504537,0.906227576219154
"32","2015BUTTE",20,13882.3832634538,0.875313966656889
"33","2015ROUGH",NA,NA,NA
"34","2004POWER",30,2086.46060039644,0.759124199286496
"35","2007ANGORA",30,510.660555208474,0.800960730778493
"36","2007ANTELOPE_CMPLX",30,4342.12835888092,0.831854056835909
"37","2007MOONLIGHT",30,13393.1877424297,0.864645058183654
"38","2008RICH",30,624.94928385605,0.783380147045774
"39","2008PIUTE",30,6751.95927482788,0.81877360657937
"40","2012CHIPS",30,4704.84654410989,0.678592768897265
"41","2013RIM",30,32557.3508254825,0.821768717541036
"42","2014KING",30,16608.6006812151,0.869118858253087
"43","2015BUTTE",30,13118.8512285785,0.827171638251674
"44","2015ROUGH",NA,NA,NA
"45","2004POWER",40,1935.59177447331,0.704233070906487
"46","2007ANGORA",40,478.342652329611,0.750270755132117
"47","2007ANTELOPE_CMPLX",40,4137.72753491899,0.792695459811578
"48","2007MOONLIGHT",40,12871.0167981877,0.830934448346115
"49","2008RICH",40,587.993754532399,0.737056023243138
"50","2008PIUTE",40,6380.76855535079,0.773761314332866
"51","2012CHIPS",40,4253.15064570225,0.613443445210244
"52","2013RIM",40,30998.8461539049,0.782431045624511
"53","2014KING",40,16021.9192738014,0.838418145727289
"54","2015BUTTE",40,12499.0461766384,0.78809160362996
"55","2015ROUGH",NA,NA,NA
"56","2004POWER",50,1806.14581882195,0.657136299744817
"57","2007ANGORA",50,448.655519667401,0.703707089250121
"58","2007ANTELOPE_CMPLX",50,3959.30142216575,0.758513032791504
"59","2007MOONLIGHT",50,12428.3496335094,0.802356488884927
"60","2008RICH",50,557.156537634933,0.69840126495849
"61","2008PIUTE",50,6053.37967396444,0.734060634240491
"62","2012CHIPS",50,3844.61565171755,0.554519335749846
"63","2013RIM",50,29577.0406371883,0.746543749316898
"64","2014KING",50,15474.0264925929,0.809747220488682
"65","2015BUTTE",50,11924.6137363445,0.751872409249
"66","2015ROUGH",NA,NA,NA
"67","2004POWER",60,1694.12875620652,0.616380743206529
"68","2007ANGORA",60,421.933119207081,0.661793545737609
"69","2007ANTELOPE_CMPLX",60,3797.90961905458,0.727593996074522
"70","2007MOONLIGHT",60,12101.1652353457,0.781233931773989
"71","2008RICH",60,530.912723445742,0.665504382683951
"72","2008PIUTE",60,5754.3357619848,0.697797195382083
"73","2012CHIPS",60,3512.82274985335,0.506663946234887
"74","2013RIM",60,28407.0624979052,0.71701273986151
"75","2014KING",60,15002.173768937,0.785055429270454
"76","2015BUTTE",60,11443.3593847099,0.72152829271613
"77","2015ROUGH",NA,NA,NA
"78","2004POWER",70,1593.76807239461,0.579866167410522
"79","2007ANGORA",70,397.540281966467,0.623533874919629
"80","2007ANTELOPE_CMPLX",70,3651.82392551954,0.699607265427957
"81","2007MOONLIGHT",70,11667.2935252689,0.753223794290796
"82","2008RICH",70,507.543104515089,0.636210332771069
"83","2008PIUTE",70,5482.2188791451,0.664799051805532
"84","2012CHIPS",70,3260.81913426366,0.470316781737201
"85","2013RIM",70,27478.6080275581,0.693577944951993
"86","2014KING",70,14608.1542187369,0.76443660483291
"87","2015BUTTE",70,11050.3586619682,0.696748756307011
"88","2015ROUGH",NA,NA,NA
"89","2004POWER",80,1501.86735896268,0.54642961199001
"90","2007ANGORA",80,374.795901801172,0.587859775613368
"91","2007ANTELOPE_CMPLX",80,3524.85285539454,0.675282466376761
"92","2007MOONLIGHT",80,11428.3250303273,0.737796329807621
"93","2008RICH",80,486.064038930724,0.609286110293264
"94","2008PIUTE",80,5235.01951151884,0.634822520618494
"95","2012CHIPS",80,3018.06327834736,0.435303446681991
"96","2013RIM",80,26556.1246469835,0.670293864233289
"97","2014KING",80,14220.8377499674,0.744168548927374
"98","2015BUTTE",80,10664.4494648194,0.672416355759125
"99","2015ROUGH",NA,NA,NA
"100","2004POWER",90,1416.27888078469,0.515289659022447
"101","2007ANGORA",90,353.304879743259,0.554151543095476
"102","2007ANTELOPE_CMPLX",90,3401.83342395407,0.651714712350306
"103","2007MOONLIGHT",90,11128.6889809822,0.718452254722406
"104","2008RICH",90,466.156543335051,0.584331866437143
"105","2008PIUTE",90,5003.07194270804,0.606695492637068
"106","2012CHIPS",90,2804.62984743547,0.404519364459573
"107","2013RIM",90,25713.4352320123,0.649023835122557
"108","2014KING",90,13862.4770198638,0.725415730759938
"109","2015BUTTE",90,10310.651957331,0.650108665948523
"110","2015ROUGH",NA,NA,NA
"111","2004POWER",100,1337.3392313866,0.486568772498208
"112","2007ANGORA",100,333.161712778132,0.522557393972299
"113","2007ANTELOPE_CMPLX",100,3286.91430734295,0.629698796315618
"114","2007MOONLIGHT",100,10848.6442532146,0.700372967356973
"115","2008RICH",100,447.461920797632,0.560897971030517
"116","2008PIUTE",100,4781.70121008537,0.579851060411845
"117","2012CHIPS",100,2614.00696982979,0.37702531016538
"118","2013RIM",100,24941.0746936598,0.629528952615579
"119","2014KING",100,13531.7380419982,0.708108343561002
"120","2015BUTTE",100,9986.76689167728,0.629687019594426
"121","2015ROUGH",NA,NA,NA
"122","2004POWER",110,1263.61193415699,0.459744314147856
"123","2007ANGORA",110,314.068410040898,0.492609935611926
"124","2007ANTELOPE_CMPLX",110,3178.50289867236,0.608929610640699
"125","2007MOONLIGHT",110,10582.9537177404,0.683220366129993
"126","2008RICH",110,429.502992205783,0.538386275306568
"127","2008PIUTE",110,4573.23097585391,0.554571001898682
"128","2012CHIPS",110,2441.72991595833,0.352177323752208
"129","2013RIM",110,24222.7895745527,0.611398968873307
"130","2014KING",110,13222.953876699,0.691949839521883
"131","2015BUTTE",110,9686.36183015505,0.610745837737197
"132","2015ROUGH",NA,NA,NA
"133","2004POWER",120,1194.71491648175,0.434677273166586
"134","2007ANGORA",120,295.96704072699,0.46421830472154
"135","2007ANTELOPE_CMPLX",120,3076.31514234244,0.589352736666408
"136","2007MOONLIGHT",120,10329.6579706659,0.666867954726613
"137","2008RICH",120,412.299260223516,0.516821226048733
"138","2008PIUTE",120,4376.99614839763,0.530774665032157
"139","2012CHIPS",120,2286.82505960329,0.329834976471786
"140","2013RIM",120,23555.442115621,0.594554684815302
"141","2014KING",120,12934.8920108433,0.676875721914738
"142","2015BUTTE",120,9406.85968418038,0.593122629427838
"143","2015ROUGH",NA,NA,NA
"144","2004POWER",130,1130.1663640914,0.411192349397059
"145","2007ANGORA",130,278.743898366651,0.437204155007924
"146","2007ANTELOPE_CMPLX",130,2980.01651521566,0.570904087289359
"147","2007MOONLIGHT",130,10087.7508852625,0.651250779043264
"148","2008RICH",130,395.59015434558,0.495876195535383
"149","2008PIUTE",130,4190.21045797298,0.508124173940398
"150","2012CHIPS",130,2147.24159762359,0.309702475428653
"151","2013RIM",130,22933.3183628679,0.578851876525028
"152","2014KING",130,12665.2143595782,0.662763640056512
