"","name","buf_width","area_ha","prop.hs"
"1","2007SAGE",0,2436.2100615648,1
"2","2009FORKS",0,1008.62999380953,1
"3","2002BIRCH",0,862.019968863128,1
"4","1992RUBY",0,1287.8100705173,1
"5","2009TENNANT",NA,NA,NA
"6","1997JACKS",0,1573.19998022989,1
"7","2006SAWMILL",0,2055.41992707105,1
"8","2004DEEP",0,845.190018322602,1
"9","2001STREAM",0,882.179985703081,1
"10","2007GOLDLEDGE",0,1025.72996783533,1
"11","2014COFFEE_CMPLX",NA,NA,NA
"12","2008GULCH",NA,NA,NA
"13","2014EL_PORTAL",0,1019.07000959514,1
"14","2007ANGORA",0,637.560039569154,1
"15","2004SIMS",NA,NA,NA
"16","2008COLD",0,1168.91994502486,1
"17","2009SUGARLOAF",NA,NA,NA
"18","1994PEAK",0,629.550062392296,1
"19","2014LITTLE_DEER",NA,NA,NA
"20","2011MOTOR",0,1004.12994252766,1
"21","1999PILOT",0,766.890054925396,1
"22","2002FULLER",0,1337.21997027952,1
"23","2012STAFFORD",NA,NA,NA
"24","1987INDIAN",0,1646.91023376183,1
"25","1989RACK",0,581.939958098426,1
"26","2004STRAYLOR",NA,NA,NA
"27","1985RICH_BAR",0,1384.29016160468,1
"28","1987HASLOE_CMPLX",0,1152.26996224381,1
"29","1999RICHBAR_CMPLX",0,418.32004552099,1
"30","1998TOM",0,572.760104099037,1
"31","2006BOULDER_CMPLX",0,530.73000940894,1
"32","2008TROUGH",NA,NA,NA
"33","1988HERMIT",NA,NA,NA
"34","1987RIPSTEIN",NA,NA,NA
"35","2001BELL",NA,NA,NA
"36","1997CHOKE",0,566.460000661236,1
"37","1987STRAUSE",NA,NA,NA
"38","1994LUCAS4",0,888.570015711707,1
"39","1994SPECIMEN",NA,NA,NA
"40","1987GULCH_SHF",NA,NA,NA
"41","2008RICH",0,797.75992053515,1
"42","1989LAYMAN",0,612.900042479064,1
"43","2001NORTH_FORK",0,493.649999221792,1
"44","1987FRIENDLY",NA,NA,NA
"45","2006BASSETTS",0,280.170048729366,1
"46","1987QUAKING",NA,NA,NA
"47","2009BACKBONE",NA,NA,NA
"48","1987BLAKE",NA,NA,NA
"49","1992RAINBOW",0,870.029997702657,1
"50","1996KAWEAH",0,462.870006907534,1
"51","2006UNCLES",NA,NA,NA
"52","1999HORTON2",0,384.120005450524,1
"53","1988WALKER",0,295.559994839939,1
"54","1994BIG_CREEK",0,567.540083290939,1
"55","1987PEANUT",NA,NA,NA
"56","1985OWENS",0,298.350076324477,1
"57","1987CLAVEY_CMPLX",0,781.73994357733,1
"58","1987CHINA_SHF",NA,NA,NA
"59","2002STANZA",NA,NA,NA
"60","2007CHINA",NA,NA,NA
"61","1991ILL",0,262.35000993039,1
"62","2009CHALK",NA,NA,NA
"63","2006TITUS",NA,NA,NA
"64","1989BALCH",0,609.119965565017,1
"65","1985TRELOAR_CMPLX",NA,NA,NA
"66","2009BIG_MEADOW",0,533.970016757641,1
"67","2008CAREY",NA,NA,NA
"68","2008TELEPHONE",NA,NA,NA
"69","2008NORTHMOUNTAIN",0,173.429985498504,1
"70","1990STEAMBOAT",0,360.449988454083,1
"71","1987SLATER",NA,NA,NA
"72","2003TUOLUMNE",0,182.79002197236,1
"73","1999LOOKOUT",0,128.249958555706,1
"74","1996BOREL",0,139.050053542295,1
"75","2001HIGHWAY",0,185.220037976326,1
"76","1999SHEEP2",NA,NA,NA
"77","1990KIRCH",0,179.910032481765,1
"78","1988OBELISK",0,305.910021900072,1
"79","2008OLIVER",0,118.350002652096,1
"80","2001SWILLUP2",NA,NA,NA
"81","1987CHINA_KNF",NA,NA,NA
"82","1999PIDGEN",0,175.590029679813,1
"83","2003LOMA",NA,NA,NA
"84","2006RUSH",NA,NA,NA
"85","2005WOOLEY",NA,NA,NA
"86","1987BEAR",NA,NA,NA
"87","2001MCLAUGHLIN",0,86.8499649383214,1
"88","1999SUGAR",NA,NA,NA
"89","1987KELSEY",NA,NA,NA
"90","1996CASTLE_COMPLEX",0,51.3900020127294,1
"91","1987THOMPSON",NA,NA,NA
"92","2008HIDDEN",0,74.2499929564468,1
"93","1988CLEARINGHOUSE",0,41.6700041849659,1
"94","1987BEARCAT",NA,NA,NA
"95","1987SAINT_CLAIRE",NA,NA,NA
"96","1999JACKASS",NA,NA,NA
"97","1996ROCK",NA,NA,NA
"98","2006RALSTON",0,90.8099805552581,1
"99","2009KNIGHT",0,79.7400235239398,1
"100","1999DIVISION",0,16.5600110077954,1
"101","2008ZEIGLER",NA,NA,NA
"102","1987WALLOW",NA,NA,NA
"103","1995WUKSACHI",0,1.35000279253291,1
"104","2009LION",0,3.05999438318532,1
"105","1999YELLOW",NA,NA,NA
"106","2008FOX",0,9.36001548682935,1
"107","2007SAGE",10,2374.81991468169,0.974800963245475
"108","2009FORKS",10,973.998414590954,0.965664733915186
"109","2002BIRCH",10,831.178260401492,0.96422158467824
"110","1992RUBY",10,1237.28013918258,0.960762900918749
"111","2009TENNANT",NA,NA,NA
"112","1997JACKS",10,1508.52754050251,0.958891151449206
"113","2006SAWMILL",10,1958.69402500366,0.952941050734475
"114","2004DEEP",10,801.479931544271,0.948283716287753
"115","2001STREAM",10,818.899796206107,0.928268391345853
"116","2007GOLDLEDGE",10,955.270785254052,0.931308253838022
"117","2014COFFEE_CMPLX",NA,NA,NA
"118","2008GULCH",NA,NA,NA
"119","2014EL_PORTAL",10,944.65774329912,0.926980221579103
"120","2007ANGORA",10,589.16594623333,0.924094845454042
"121","2004SIMS",NA,NA,NA
"122","2008COLD",10,1084.18292429599,0.927508277115533
"123","2009SUGARLOAF",NA,NA,NA
"124","1994PEAK",10,586.227653862206,0.931185125507788
"125","2014LITTLE_DEER",NA,NA,NA
"126","2011MOTOR",10,921.736502297375,0.917945440385059
"127","1999PILOT",10,692.401865096418,0.902869792937627
"128","2002FULLER",10,1187.68333905009,0.888173498337619
"129","2012STAFFORD",NA,NA,NA
"130","1987INDIAN",10,1524.85424096795,0.92588788976368
"131","1989RACK",10,504.624550673539,0.867141951074254
"132","2004STRAYLOR",NA,NA,NA
"133","1985RICH_BAR",10,1167.55814005552,0.843434543161152
"134","1987HASLOE_CMPLX",10,1038.41020562997,0.901186561878157
"135","1999RICHBAR_CMPLX",10,355.045757647767,0.848741917699833
