VB_ID,ID_Num,FIRE_NAME,FIRE_YEAR,WFU,Veg,AGENCY,ICS_CODE,PCT_FS,FIRESIZE_HA,BA90_HA,BA90_PCT,MaxPatch_HA,IGNITION_DATE,CONT_DATE,q,TMAX,MAXTMIN,T_dist,MAX_WSF5,W_dist,max_tmmx,max_tmmn,min_rmax,max_bi,sdc_BA90_resid,sdc_BA90_maxtmmx_resid,sdc_BA90_maxbi_resid,lat,long
1984BADGER,6,BADGER,1984,no,Forest,"USF,NPS",LNF,25.71,450,79,17.5,34,19840718,19840725.0,0.00920423503473247,28.3,15.6,14.2,NA,NA,28.700982666015648,12.749444580078148,68.925811767578125,59.49795913696289,0.03594914249219652,-0.017155295469762,0.017705011271622918,40.56080768,-121.4104252
1984BODFISH,8,BODFISH,1984,no,Shrub/Grass,USF,SQF,53.26,9530,2999,31.5,1318,19840707,19840714.0,NA,40.0,25.0,23.2,NA,NA,35.04879150390627,20.253320312500023,34.687339782714844,85.5269546508789,NA,NA,NA,35.5787108,-118.38650587
1985BARTLETT,29,BARTLETT,1985,yes,Forest,NPS,YNP,0.0,427,88,20.7,70,19850725,19851110.0,0.0111586734621403,33.9,18.3,7.7,NA,NA,28.901788330078148,13.290643310546898,35.165802001953125,74.7640151977539,0.3601869616421912,0.31020338933174973,0.3660896953223185,38.02514824,-119.81872951
1985BUCK,31,BUCK,1985,yes,Forest,NPS,YNP,0.0,141,24,17.2,11,19850809,19851110.0,0.01977462759454,29.4,17.8,15.2,NA,NA,24.423394775390648,9.006219482421898,36.91925811767578,82.74609375,0.7883396993367445,0.6301041297792402,0.8068318682765672,37.54827139,-119.46705411
1985CAENF00000066,21,1985CAENF00000066,1985,no,Forest,USF,ENF,42.04,129,43,33.6,37,19850810,19850812.0,0.00747139549046534,21.7,11.7,21.6,NA,NA,27.337609863281273,12.253289794921898,43.819175720214844,59.51740646362305,0.4899045809682093,0.3940688758492235,0.4718035415870366,38.7277812,-120.28828259
1985CAINF00000070,22,1985CAINF00000070,1985,no,Forest,USF,INF,88.54,87,5,5.8,1,19850817,19850817.0,0.0276911588980529,31.1,15.0,39.7,NA,NA,23.654473876953148,8.136193847656273,79.45603942871094,76.22456359863281,0.6559273799115257,0.4852554608789636,0.6640341933239305,37.78649052,-118.40663562
1985CALNF00000031,24,1985CALNF00000031,1985,no,Forest,USF,LNF,98.81,89,42,47.0,42,19850717,19850720.0,0.0108948558908885,31.1,11.1,44.8,NA,NA,31.391442871093773,11.911737060546898,39.56922149658203,68.81779479980469,1.418542131483738,1.4148689208361709,1.415231759253866,40.79570426,-121.02681244
1985CALNF00000069,25,1985CALNF00000069,1985,no,Forest,USF,LNF,99.98,217,127,58.4,121,19851020,19851024.0,0.00496931243193866,13.9,0.0,26.4,NA,NA,15.370172119140648,-1.3142456054687273,100.0,35.86201477050781,1.102658704099849,0.6980953396829442,1.0473487695305597,40.59684931,-121.27266079
1985DELTA,33,DELTA,1985,no,Forest,USF,SHF,5.64,848,401,47.3,386,19850718,19850721.0,0.00185435784993555,41.7,21.1,27.0,NA,NA,37.90740356445315,21.318322753906273,43.86848831176758,60.11606216430664,-0.3398647296527937,-0.18330447141306747,-0.35692411926027934,40.95520045,-122.45074138
1985DOUGHERTY,34,DOUGHERTY,1985,yes,Forest,NPS,KNP,0.0,1072,79,7.4,26,19850625,19851013.0,0.0145927477731078,30.0,16.1,38.5,NA,NA,22.120324707031273,11.851739501953148,21.622112274169922,64.21749114990234,0.08118108978493735,-0.12816839235465013,0.0703246198816106,36.95616724,-118.62566292
1985MAMMOTH,40,MAMMOTH,1985,no,Forest,USF,SNF,70.7,316,29,9.3,29,19850702,19850704.0,0.00842938784173958,38.9,15.6,7.0,NA,NA,34.25432739257815,18.251275634765648,40.31203079223633,60.96097183227539,-0.3894317970819846,-0.3011588802693001,-0.40542119590394965,37.18791485,-119.45400368
1985OWENS,41,OWENS,1985,no,Grass,CDF,BDU,94.27,1220,267,21.9,99,19850807,19850808.0,NA,29.4,10.0,39.1,NA,NA,24.076501464843773,6.274957275390648,42.717132568359375,58.79349899291992,NA,NA,NA,37.76510071,-118.81784683
1985PATE_VALLEY,42,PATE VALLEY,1985,no,Forest,NPS,YNP,0.0,713,138,19.3,77,19850630,19850707.0,0.00783881469040722,33.9,15.0,18.8,NA,NA,27.985070800781273,14.024530029296898,23.123403549194336,65.847869873046875,-0.050554431025548824,-0.12230766930167987,-0.05875140932884621,37.9288999,-119.57248964
1985RICH_BAR,43,RICH BAR,1985,no,Forest,USF,SQF,79.38,3295,1307,39.7,507,19850628,19850630.0,0.00662937752794894,43.9,27.2,6.4,NA,NA,37.42775878906252,18.771691894531273,30.23918914794922,69.30818176269531,0.6213571680474169,0.7704381329975657,0.6187707952470718,35.46018507,-118.71297368
1985RIVER,44,RIVER,1985,no,Forest,USF,STF,100.0,134,8,6.2,5,19850831,19850902.0,0.0250676675524445,35.0,14.4,17.0,NA,NA,31.472863769531273,13.798364257812523,42.61491394042969,59.79338073730469,0.5728536167972662,0.5944202990975286,0.5549974710868416,37.98362397,-120.19452168
1985TRELOAR_CMPLX,48,TRELOAR COMPLEX,1985,no,Forest,USF,SHF,100.0,1612,243,15.1,115,19850726,19850806.0,0.0085996334266624,42.8,16.7,8.5,NA,NA,36.88924560546877,17.063897705078148,33.54780578613281,64.24932861328125,-0.1307583199561318,0.019075656203514424,-0.14151074070739927,40.81680009,-123.20895064
1986CAENF00000082,52,1986CAENF00000082,1986,no,Forest,USF,ENF,99.95,239,24,10.1,22,19861029,19861105.0,0.00889738977893074,25.0,12.2,28.6,NA,NA,23.063897705078148,7.586755371093773,26.086408615112305,48.951595306396484,-0.30247688869997286,-0.49013594822466616,-0.3374387950016287,38.98528995,-120.47688564
