"","ID_Num","VB_ID","FIRE_NAME","FIRE_YEAR","WFU","Veg","NUM_ASSESS","AGENCY","ICS_CODE","PCT_FS","FIRESIZE_HA","BA90_HA","BA90_PCT","BA90_PCT_integer","MaxPatch_HA","MaxPatch_PCT_of_HS","MaxPatch_PCT_of_firesize","TCA100_BA90_HA","TCA100_Pct_of_fireSize","TCA100_Pct_of_BA90","TCA200_BA90_HA","TCA200_Pct_of_fireSize","TCA200_Pct_of_BA90","SDI_LOG","SEI_LOG","SDI_LOG200","SEI_LOG200","SDI_LOGMN1MX200","SEI_LOGMN1MX200","SIMDI_LOGMX200","SIMDI_LOGMN1MX200","SDI_LIN5","SEI_LIN5","SEI_LIN5_MaxP_GT_40ha","Nptype_LIN5","SDI_LIN5_max400","SEI_LIN5_max400","SDI_LIN5_max200","SEI_LIN5_max200","SDI_LIN5_min1max200","SEI_LIN5_min1max200","SIMDI_LIN5MAX200","SIMDI_LIN5MIN1MAX200","MPS","N","MEDPS","PSCOV","PSSD","q"
"1",1,"1984BADGER","BADGER",1984,"no","Forest",1,"USF","LNF",26,450,79,17.5,17,34,43.3,7.6,12,2.7,15.1,1.5,0.3,1.9,1.042,0.948,1.262,0.607,1.052,0.759,0.653,0.61,1.042,0.948,NA,3,1.042,0.948,1.042,0.948,0.99,0.902,0.632,0.605,4.39,18,0.99,179.05,7.851,-0.00920423503223648
"5",405,"1985CAENF00000066","1985CAENF00000066",1985,"no","Forest",1,"USF","ENF",NA,129,43,33.6,33,37,84.6,28.4,7.5,5.8,17.3,0,0,0,NA,NA,0.455,0.415,NA,NA,0.262,NA,NA,NA,NA,NA,NA,NA,0.455,0.415,NA,NA,0.262,NA,14.43,3,6.39,110.155,15.895,-0.00747139547506703
"6",5,"1985CAINF00000070","1985CAINF00000070",1985,"no","Forest",1,"USF","INF",89,87,5,5.8,5,1,26.8,1.6,0,0,0,0,0,0,0,NA,0.693,0.999,0,NA,0.499,0,0,NA,NA,NA,0,NA,0,NA,0,NA,0,0,1.01,5,0.81,24.223,0.244,-0.0276911589413136
"7",6,"1985CALNF00000031","1985CALNF00000031",1985,"no","Forest",1,"USF","LNF",99,89,42,47,46,42,100,47,1,1.1,2.3,0,0,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,0,NA,0,NA,0,NA,0,0,41.67,1,41.67,0,0,-0.0108948558658948
"8",7,"1985CALNF00000069","1985CALNF00000069",1985,"no","Forest",1,"USF","LNF",100,217,127,58.4,58,121,95.7,55.9,41.2,19,32.5,6,2.8,4.8,0.179,0.258,0.197,0.142,0.163,0.236,0.083,0.074,0.179,0.258,0.258,2,0.179,0.258,0.179,0.258,0.163,0.236,0.083,0.074,25.31,5,0.27,189.287,47.905,-0.0049693124395705
"9",406,"1985DELTA","DELTA",1985,"no","Forest",1,"USF","SHF",NA,848,401,47.3,47,386,96.1,45.5,215.2,25.4,53.6,111.9,13.2,27.9,NA,NA,0.191,0.107,NA,NA,0.076,NA,NA,NA,NA,NA,NA,NA,0.183,0.167,NA,NA,0.076,NA,30.884,13,0.27,331.775,102.465,-0.00185435785117377
"12",10,"1985MAMMOTH","MAMMOTH",1985,"no","Forest",1,"USF","SNF",71,316,29,9.3,9,29,97.6,9.1,2.8,0.9,9.5,0,0,0,0.115,0.166,0.115,0.166,0,NA,0.048,0,0.115,0.166,NA,2,0.115,0.166,0.115,0.166,0,NA,0.048,0,9.81,3,0.36,136.232,13.364,-0.00842938784750246
"14",13,"1985RICH_BAR","RICH BAR",1985,"no","Forest",1,"USF","SQF",79,3295,1307,39.7,39,507,38.8,15.4,108.3,3.3,8.3,1.4,0,0.1,1.608,0.826,1.737,0.699,1.622,0.78,0.761,0.746,1.906,0.795,0.795,11,1.906,0.795,1.906,0.795,1.887,0.787,0.792,0.784,8.17,160,0.72,539.164,44.033,-0.00662937753230671
"15",14,"1985RIVER","RIVER",1985,"no","Forest",1,"USF","STF",100,134,8,6.2,6,5,63,3.9,0,0,0,0,0,0,0.659,0.95,0.708,0.644,0,NA,0.474,0,0.659,0.95,NA,2,0.659,0.95,0.659,0.95,0,NA,0.466,0,1.38,6,0.765,125.993,1.739,-0.025067667674345
"16",15,"1985TRELOAR_CMPLX","TRELOAR COMPLEX",1985,"no","Forest",1,"USF","SHF",100,1612,243,15.1,15,115,47.5,7.2,26,1.6,10.7,1.6,0.1,0.7,1.391,0.865,1.595,0.693,1.46,0.815,0.716,0.696,1.391,0.865,0.865,5,1.391,0.865,1.391,0.865,1.373,0.853,0.699,0.688,5.28,46,0.9,326.178,17.218,-0.00859963342048574
