VB_ID,ID_Num,fire_name,fire_year,class,veg_type,agency,ICS_code,pct_fs,firesize_ha,BA90_ha,BA90_pct,max_patch_ha,ignition_date,contain_date,sdc,awmsi,awmpfd,max_tmmx,max_tmmn,min_rmax,max_bi,region,fire_year_std,max_tmmx_std,max_tmmn_std,min_rmax_std,max_bi_std
1984BADGER,6,BADGER,1984,SUP,Forest,USFS,LNF,25.71,450,79,17.5,34,19840718,19840725.0,0.009344321033325045,0.023261110729751032,1.3255037882680352,28.700982666015648,12.749444580078148,68.925811767578125,59.49795913696289,SCSN,-1.7201291474074476,-0.44988946629358506,-0.4348815976687164,2.7182042447745736,-0.8128453153090988
1984YNP_023,1, ,1984,WFU,Forest,NPS,YNP,0.0,299,10,3.2,4,19840000,19840007.0,0.027543350027810068,0.04905659554206175,1.3526266575249895,NA,NA,NA,NA,SCSN,-1.7201291474074476,NA,NA,NA,NA
1985BARTLETT,29,BARTLETT,1985,WFU,Forest,NPS,YNP,0.0,427,88,20.7,70,19850725,19851110.0,0.011226786241826957,0.02314720847724558,1.389203242609747,28.901788330078148,13.290643310546898,35.165802001953125,74.7640151977539,SCSN,-1.6152727124792239,-0.41304577431342765,-0.30741180273398416,-0.09549326704280862,0.3632148391001955
1985BUCK,31,BUCK,1985,WFU,Forest,NPS,YNP,0.0,141,24,17.2,11,19850809,19851110.0,0.020718250495415712,0.03345633165489764,1.3772028664718399,24.423394775390648,9.006219482421898,36.91925811767578,82.74609375,SCSN,-1.6152727124792239,-1.2347384963049377,-1.316532105569043,0.05064694867814118,0.9781349269919234
1985CAENF00000066,21,1985CAENF00000066,1985,SUP,Forest,USFS,ENF,42.04,129,43,33.6,37,19850810,19850812.0,0.007471912883367832,0.014414415255583206,1.3171511389890138,27.337609863281273,12.253289794921898,43.819175720214844,59.51740646362305,SCSN,-1.6152727124792239,-0.7000402169339394,-0.5517420874650893,0.625714347200551,-0.8113471401482245
1985CAINF00000070,22,1985CAINF00000070,1985,SUP,Forest,USFS,INF,88.54,87,5,5.8,1,19850817,19850817.0,0.028726918266451563,0.046428542930597075,1.3341218684942977,23.654473876953148,8.136193847656273,79.45603942871094,76.22456359863281,SCSN,-1.6152727124792239,-1.3758196001243974,-1.5214512655890207,3.5958365551528892,0.4757319667079983
1985CALNF00000031,24,1985CALNF00000031,1985,SUP,Forest,USFS,LNF,98.81,89,42,47.0,42,19850717,19850720.0,0.011126673648943689,0.017998559746143415,1.37906866349302,31.391442871093773,11.911737060546898,39.56922149658203,68.81779479980469,SCSN,-1.6152727124792239,0.04375441344238082,-0.6321887968882045,0.2715057522566792,-0.09486764477884663
1985CALNF00000069,25,1985CALNF00000069,1985,SUP,Forest,USFS,LNF,99.98,217,127,58.4,121,19851020,19851024.0,0.005133480779489846,0.009625415186052602,1.319644081614616,NA,NA,NA,NA,SCSN,-1.6152727124792239,NA,NA,NA,NA
1985DELTA,33,DELTA,1985,SUP,Forest,USFS,SHF,5.64,848,401,47.3,386,19850718,19850721.0,0.001919987976681644,0.005991843773128736,1.299434845536629,37.90740356445315,21.318322753906273,43.86848831176758,60.11606216430664,NW,-1.6152727124792239,1.2392986221267737,1.5833661958775114,0.6298242605896897,-0.765228148250099
1985DOUGHERTY,34,DOUGHERTY,1985,WFU,Forest,NPS,KNP,0.0,1072,79,7.4,26,19850625,19851013.0,0.014472850909452595,0.02898221458075545,1.3516712473132186,22.120324707031273,11.851739501953148,21.622112274169922,64.21749114990234,SCSN,-1.6152727124792239,-1.6573042869837429,-0.6463201613204637,-1.224279850709389,-0.4492639472219714
1985KENDRICK,37,KENDRICK,1985,WFU,Forest,NPS,YNP,0.0,507,30,5.9,6,19850725,19850802.0,0.022775036479305084,0.03927491950781444,1.3449495852675646,26.094018554687523,12.507165527343773,54.58298873901367,66.31278228759766,SCSN,-1.6152727124792239,-0.9282135373277711,-0.49194614610600296,1.5228146181696556,-0.2878477694536125
1985MAMMOTH,40,MAMMOTH,1985,SUP,Forest,USFS,SNF,70.7,316,29,9.3,29,19850702,19850704.0,0.008397389330789528,0.015086642444417103,1.3153641490808186,34.25432739257815,18.251275634765648,40.31203079223633,60.96097183227539,SCSN,-1.6152727124792239,0.5690345940427676,0.8609774589464452,0.33341452187633236,-0.7001383443992315
1985PATE_VALLEY,42,PATE VALLEY,1985,SUP,Forest,NPS,YNP,0.0,713,138,19.3,77,19850630,19850707.0,0.007822314567499749,0.02118662433493414,1.3414938961756673,27.985070800781273,14.024530029296898,23.123403549194336,65.847869873046875,SCSN,-1.6152727124792239,-0.5812445073517176,-0.1345577580407146,-1.099156085806025,-0.3236635010260707
1985RICH_BAR,43,RICH BAR,1985,SUP,Forest,USFS,SQF,79.38,3295,1307,39.7,507,19850628,19850630.0,0.008740372618080309,0.018336633856023528,1.4011509221504674,37.42775878906252,18.771691894531273,30.23918914794922,69.30818176269531,SCSN,-1.6152727124792239,1.1512937122708262,0.9835523102502678,-0.5060973641752934,-0.05708941541817374
1985RIVER,44,RIVER,1985,SUP,Forest,USFS,STF,100.0,134,8,6.2,5,19850831,19850902.0,0.025435440163779847,0.04202900601056144,1.3629974190303205,31.472863769531273,13.798364257812523,42.61491394042969,59.79338073730469,SCSN,-1.6152727124792239,0.05869346666473035,-0.1878271078919214,0.5253462372123714,-0.7900867474425655
1985TRELOAR_CMPLX,48,TRELOAR COMPLEX,1985,SUP,Forest,USFS,SHF,100.0,1612,243,15.1,115,19850726,19850806.0,0.009764465580877438,0.02143472601095357,1.363125489044638,36.88924560546877,17.063897705078148,33.54780578613281,64.24932861328125,NW,-1.6152727124792239,1.0524876653586899,0.5813115752585821,-0.23034369979413552,-0.4468112657993239
1986CAENF00000082,52,1986CAENF00000082,1986,SUP,Forest,USFS,ENF,99.95,239,24,10.1,22,19861029,19861105.0,0.008843297162496806,0.016479392319720395,1.3130076398089114,23.063897705078148,7.586755371093773,26.086408615112305,48.951595306396484,SCSN,-1.5104162775510004,-1.4841781300940033,-1.6508617870734528,-0.8522071056560085,-1.6253117588778807
1986CASCADE_CREEK,58,CASCADE CREEK,1986,WFU,Forest,NPS,YNP,0.0,837,16,1.9,7,19860727,19860922.0,0.023857585739184478,0.04507575037715373,1.3745535409500287,25.447076416015648,11.250695800781273,37.0130500793457,67.59465789794922,SCSN,-1.5104162775510004,-1.0469140580401353,-0.7878853813069051,0.05846395498267845,-0.1890951628707272
1986DEER,59,DEER,1986,SUP,Forest,USFS,SNF,100.0,5349,1204,22.5,206,19860909,19860920.0,0.006639721130988774,0.016778422673779377,1.3481142465750624,28.070306396484398,11.642968750000023,39.0609130859375,58.54458236694336,SCSN,-1.5104162775510004,-0.5656055359686508,-0.6954924217889706,0.22914124702710298,-0.8862911632016099
1986GLACIER_POINT,61,GLACIER POINT,1986,SUP,Forest,NPS,YNP,0.0,278,122,43.8,98,19860627,19860701.0,0.005321623937975751,0.013146922087809217,1.3226997565433427,28.650292968750023,12.395959472656273,41.967044830322266,57.73493576049805,SCSN,-1.5104162775510004,-0.4591899788131962,-0.5181387666508414,0.4713501715788623,-0.9486643858074554
1987ASSIST_PNF,71,ASSIST P.N.F.,1987,SUP,Forest,CDF,LMU,63.24,499,244,49.0,201,19870831,19870908.0,0.003251491759545469,0.009296637223644304,1.303785401010031,33.72567138671877,15.939050292968773,39.24704360961914,75.07154083251953,SCSN,-1.4055598426227767,0.4720371356579246,0.3163736497201081,0.24465412735480815,0.38690587259745735
1987BEAR,72,BEAR,1987,SUP,Forest,USFS,SHF,97.58,2132,147,6.9,35,19870830,19870914.0,0.01175445447420885,0.02778457274604084,1.3319114438540394,39.74337158203127,15.718438720703148,51.445640563964844,64.66539001464844,NW,-1.4055598426227767,1.5761608338620696,0.26441249332092126,1.2613351691077643,-0.41475889850896774
1987BEARCAT,73,BEARCAT,1987,SUP,Forest,USFS,KNF,94.96,1157,40,3.4,16,19870830,19870918.0,0.015811959119922395,0.035267865499769804,1.349810141289695,40.1061950683594,16.162896728515648,52.40412521362305,58.602783203125,NW,-1.4055598426227767,1.6427314499642112,0.36909672098695495,1.341219206244639,-0.8818075110969691
1987BETTY_BLAKE,74,BETTY BLAKE,1987,WFU,Forest,NPS,YNP,0.0,159,16,9.8,13,19870717,19871120.0,0.014884094400667661,0.026204238596227208,1.3503303814433743,27.581079101562523,13.397668457031273,25.2834415435791,85.646697998046875,SCSN,-1.4055598426227767,-0.65536864024432,-0.2822039212162157,-0.9191296707538636,1.2015904852745716
1987BIG,75,BIG,1987,SUP,Forest,USFS,TNF,72.3,427,37,8.6,18,19870831,19870906.0,0.009157064236339166,0.01998361502459932,1.3146895210488743,32.17705688476565,18.070550537109398,38.6934814453125,76.05903625488281,SCSN,-1.4055598426227767,0.18789835913313943,0.8184108566230277,0.19851798891293573,0.4629801392108118
1987BLAKE,76,BLAKE,1987,SUP,Forest,USFS,SRF,99.5,1413,345,24.4,281,19870830,19870905.0,0.005126749584454998,0.011509796478246763,1.3679188004935714,34.40627441406252,14.704034423828148,41.05104064941406,67.86932373046875,NW,-1.4055598426227767,0.596913734220458,0.025487491424535717,0.3950066307289411,-0.1679355693177123
1987CEDAR,78,CEDAR,1987,SUP,Forest,USFS,MDF,83.26,283,29,10.3,10,19870901,19870912.0,0.018898434187739507,0.034666665986767715,1.3573582677050287,29.267236328125023,13.027825927734398,39.405364990234375,65.87984466552734,SCSN,-1.4055598426227767,-0.3459936145167127,-0.36931379179330043,0.2578492797791466,-0.3212002401005218
1987CHAWANAKEE,79,CHAWANAKEE,1987,SUP,Forest,USFS,SNF,100.0,713,48,6.7,12,19870622,19870626.0,0.019332546961180225,0.03728812986769726,1.3612426947230327,33.62014160156252,18.642633056640648,42.95486831665039,46.21198654174805,SCSN,-1.4055598426227767,0.4526745996598419,0.9531547821810796,0.5536794275504138,-1.8363646132590896
1987CHINA_KNF,81,CHINA,1987,SUP,Forest,USFS,KNF,96.11,1332,112,8.4,25,19870830,19870907.0,0.012048355160107029,0.024966593397814284,1.3329970199006103,39.98052368164065,18.749688720703148,41.214630126953125,65.37039947509766,NW,-1.4055598426227767,1.6196733460775412,0.978369851574958,0.40864084793168143,-0.3604466693638483
1987CHINA_SHF,82,CHINA,1987,SUP,Forest,USFS,SHF,100.0,3696,726,19.6,380,19870830,19871013.0,0.005601785450088579,0.015416307415899607,1.3583984078952547,32.97390136718752,16.599786376953148,32.755165100097656,64.47223663330078,NW,-1.4055598426227767,0.3341028638890497,0.4719983553777087,-0.29640562162252376,-0.4296389693398246
1987CLARK,129,PLUMAS NF #531 (CLARK),1987,SUP,Forest,CDF,BTU,73.47,15861,5351,33.7,781,19870830,19870905.0,0.0057071005000893064,0.015472328808721634,1.3835302858255827,29.548242187500023,17.085351562500023,31.112831115722656,74.1419906616211,SCSN,-1.4055598426227767,-0.2944348431256353,0.5863646521639118,-0.4332844637049178,0.3152955684583438
1987CLAVEY_CMPLX,83,CLAVEY 87 CMPLX,1987,SUP,Forest,USFS,STF,98.1,3537,708,20.0,324,19870831,19871012.0,0.008684926819678002,0.018928587721342694,1.3702829110922927,33.2525573730469,17.344903564453148,28.602567672729492,63.902435302734375,SCSN,-1.4055598426227767,0.38523048569312524,0.6474975384794581,-0.6425001023433814,-0.4735350901283281
1987COLD,84,COLD,1987,SUP,Forest,USFS,SHF,98.37,6678,387,5.8,96,19870830,19870911.0,0.011928618514110916,0.02623026062744739,1.3477213122906269,36.65804443359377,17.622827148437523,40.63200759887695,69.849151611328125,NW,-1.4055598426227767,1.0100670254739372,0.7129575262132242,0.3600826997274157,-0.015414402488808645
1987DOE,85,DOE,1987,SUP,Forest,USFS,SHF,100.0,932,256,27.5,121,19870830,19870907.0,0.006821976061953764,0.014212247022890038,1.3339148074959664,29.746270751953148,15.036035156250023,42.89353942871094,50.294769287109375,NW,-1.4055598426227767,-0.2581006915664801,0.10368439562522098,0.5485680267956228,-1.5218368736249113
1987DOG_CREEK,86,DOG CREEK,1987,WFU,Forest,NPS,KNP,0.0,170,11,6.3,4,19870708,19871027.0,0.02322684750555511,0.04145657972269559,1.3411052928282516,26.451074218750023,12.807214355468773,28.66457176208496,71.89899444580078,SCSN,-1.4055598426227767,-0.8627011974846341,-0.42127494819248723,-0.6373324275366157,0.14250054756933914
1987EAST,87,EAST,1987,SUP,Forest,USFS,SHF,97.44,4643,932,20.1,584,19870830,19870907.0,0.002699852476399214,0.010715659933429836,1.3163333522320961,36.28334960937502,16.612786865234398,44.739784240722656,63.757572174072266,NW,-1.4055598426227767,0.9413182640556436,0.47506039060056854,0.7024416325743903,-0.4846949963139305
1987ELK_LICK,88,ELK LICK,1987,SUP,Forest,USFS,KNF,100.0,448,28,6.3,12,19870830,19870907.0,0.0175981584994221,0.032264957314794424,1.347238508854783,37.5390563964844,18.528009033203148,36.60459899902344,66.676605224609375,NW,-1.4055598426227767,1.1717145245279135,0.9261571195119213,0.02442196872792109,-0.25981972751692683
1987EVER,89,EVER,1987,SUP,Forest,USFS,STF,92.16,215,161,74.8,160,19870828,19870829.0,0.0025584681068957617,0.006131117638965925,1.2815404838186835,31.492883300781273,12.866693115234398,55.31429672241211,59.940372467041016,SCSN,-1.4055598426227767,0.06236663717217461,-0.4072657776540981,1.5837648213107558,-0.778762858961991
1987FAY,90,FAY,1987,SUP,Forest,USFS,SQF,81.37,4640,1147,24.7,664,19870830,19870905.0,0.00563005849344638,0.016401125213222838,1.3754530857418403,26.692956542968773,12.274041748046898,55.816734313964844,64.33219909667969,SCSN,-1.4055598426227767,-0.8183207867498732,-0.5468543317102896,1.625640028427399,-0.440427123548474
1987FLUME,92,FLUME,1987,SUP,Forest,USFS,SHF,100.0,5277,813,15.4,198,19870830,19870910.0,0.007360205654658282,0.018440656226349467,1.347477711179024,36.60823974609377,16.364038085937523,52.118446350097656,61.50008773803711,NW,-1.4055598426227767,1.0009288939676124,0.41647201242796206,1.3174095594743747,-0.6586061547590356
