VB_ID,ID_Num,FIRE_NAME,FIRE_YEAR,WFU,Veg,AGENCY,ICS_CODE,PCT_FS,FIRESIZE_HA,BA90_HA,BA90_PCT,MaxPatch_HA,IGNITION_DATE,CONT_DATE,q,TMAX,MAXTMIN,T_dist,MAX_WSF5,W_dist
1984BADGER,6,BADGER,1984,no,Forest,"USF,NPS",LNF,25.71,450,79,17.5,34,19840718,19840725.0,0.00920423503473247,28.3,15.6,14.2,NA,NA
1984BODFISH,8,BODFISH,1984,no,Shrub/Grass,USF,SQF,53.26,9530,2999,31.5,1318,19840707,19840714.0,NA,40.0,25.0,23.2,NA,NA
1985BARTLETT,29,BARTLETT,1985,yes,Forest,NPS,YNP,0.0,427,88,20.7,70,19850725,19851110.0,0.0111586734621403,33.9,18.3,7.7,NA,NA
1985BUCK,31,BUCK,1985,yes,Forest,NPS,YNP,0.0,141,24,17.2,11,19850809,19851110.0,0.01977462759454,29.4,17.8,15.2,NA,NA
1985CAENF00000066,21,1985CAENF00000066,1985,no,Forest,USF,ENF,42.04,129,43,33.6,37,19850810,19850812.0,0.00747139549046534,21.7,11.7,21.6,NA,NA
1985CAINF00000070,22,1985CAINF00000070,1985,no,Forest,USF,INF,88.54,87,5,5.8,1,19850817,19850817.0,0.0276911588980529,31.1,15.0,39.7,NA,NA
1985CALNF00000031,24,1985CALNF00000031,1985,no,Forest,USF,LNF,98.81,89,42,47.0,42,19850717,19850720.0,0.0108948558908885,31.1,11.1,44.8,NA,NA
1985CALNF00000069,25,1985CALNF00000069,1985,no,Forest,USF,LNF,99.98,217,127,58.4,121,19851020,19851024.0,0.00496931243193866,13.9,0.0,26.4,NA,NA
1985DELTA,33,DELTA,1985,no,Forest,USF,SHF,5.64,848,401,47.3,386,19850718,19850721.0,0.00185435784993555,41.7,21.1,27.0,NA,NA
1985DOUGHERTY,34,DOUGHERTY,1985,yes,Forest,NPS,KNP,0.0,1072,79,7.4,26,19850625,19851013.0,0.0145927477731078,30.0,16.1,38.5,NA,NA
1985MAMMOTH,40,MAMMOTH,1985,no,Forest,USF,SNF,70.7,316,29,9.3,29,19850702,19850704.0,0.00842938784173958,38.9,15.6,7.0,NA,NA
1985OWENS,41,OWENS,1985,no,Grass,CDF,BDU,94.27,1220,267,21.9,99,19850807,19850808.0,NA,29.4,10.0,39.1,NA,NA
1985PATE_VALLEY,42,PATE VALLEY,1985,no,Forest,NPS,YNP,0.0,713,138,19.3,77,19850630,19850707.0,0.00783881469040722,33.9,15.0,18.8,NA,NA
1985RICH_BAR,43,RICH BAR,1985,no,Forest,USF,SQF,79.38,3295,1307,39.7,507,19850628,19850630.0,0.00662937752794894,43.9,27.2,6.4,NA,NA
1985RIVER,44,RIVER,1985,no,Forest,USF,STF,100.0,134,8,6.2,5,19850831,19850902.0,0.0250676675524445,35.0,14.4,17.0,NA,NA
1985TRELOAR_CMPLX,48,TRELOAR COMPLEX,1985,no,Forest,USF,SHF,100.0,1612,243,15.1,115,19850726,19850806.0,0.0085996334266624,42.8,16.7,8.5,NA,NA
1986CAENF00000082,52,1986CAENF00000082,1986,no,Forest,USF,ENF,99.95,239,24,10.1,22,19861029,19861105.0,0.00889738977893074,25.0,12.2,28.6,NA,NA
1986CASCADE_CREEK,58,CASCADE CREEK,1986,yes,Forest,NPS,YNP,0.0,837,16,1.9,7,19860727,19860922.0,0.0235462322079303,35.0,18.3,9.8,NA,NA
1986DEER,59,DEER,1986,no,Forest,USF,SNF,100.0,5349,1204,22.5,206,19860909,19860920.0,0.00611190942795152,20.0,6.1,14.5,NA,NA
1986GLACIER_POINT,61,GLACIER POINT,1986,no,Forest,NPS,YNP,0.0,278,122,43.8,98,19860627,19860701.0,0.00534442251634017,31.7,15.6,4.3,NA,NA
1987ASSIST_PNF,71,ASSIST P.N.F.,1987,no,Forest,CDF,LMU,63.24,499,244,49.0,201,19870831,19870908.0,0.00322922930476037,35.0,15.6,13.8,NA,NA
1987BEAR,72,BEAR,1987,no,Forest,USF,SHF,97.58,2132,147,6.9,35,19870830,19870914.0,0.0118641101860774,40.0,14.4,18.5,NA,NA
1987BEARCAT,73,BEARCAT,1987,no,Forest,USF,KNF,94.96,1157,40,3.4,16,19870830,19870918.0,0.01596695219577,NA,NA,NA,NA,NA
1987BETTY_BLAKE,74,BETTY BLAKE,1987,yes,Forest,NPS,YNP,0.0,159,16,9.8,13,19870717,19871120.0,0.0146488291332706,37.2,19.4,11.1,NA,NA
1987BIG,75,BIG,1987,no,Forest,USF,TNF,72.3,427,37,8.6,18,19870831,19870906.0,0.00922448167301534,37.8,21.7,24.2,NA,NA
1987BLAKE,76,BLAKE,1987,no,Forest,USF,SRF,99.5,1413,345,24.4,281,19870830,19870905.0,0.00413184005400445,NA,NA,NA,NA,NA
1987CEDAR,78,CEDAR,1987,no,Forest,USF,MDF,83.26,283,29,10.3,10,19870901,19870912.0,0.018904558244924,34.4,14.4,5.2,NA,NA
1987CHAWANAKEE,79,CHAWANAKEE,1987,no,Forest,USF,SNF,100.0,713,48,6.7,12,19870622,19870626.0,0.018769696373898,NA,NA,NA,NA,NA
1987CHINA,80,CHINA,1987,no,Hardwood,USF,SNF,50.95,126,10,7.8,7,19870830,19870901.0,NA,28.9,13.9,13.3,NA,NA
1987CHINA_KNF,81,CHINA,1987,no,Forest,USF,KNF,96.11,1332,112,8.4,25,19870830,19870907.0,0.0118799390008056,42.2,12.2,8.7,NA,NA
1987CHINA_SHF,82,CHINA,1987,no,Forest,USF,SHF,100.0,3696,726,19.6,380,19870830,19871013.0,0.00556141434552405,39.4,14.4,8.9,NA,NA
1987CLARK,129,PLUMAS NF #531 (CLARK),1987,no,Forest,CDF,BTU,73.47,15861,5351,33.7,781,19870830,19870905.0,0.00370828677907718,35.6,16.1,25.2,NA,NA
1987CLAVEY_CMPLX,83,CLAVEY 87 CMPLX,1987,no,Forest,USF,STF,98.1,3537,708,20.0,324,19870831,19871012.0,0.00616985988901007,33.9,23.9,15.2,NA,NA
1987COLD,84,COLD,1987,no,Forest,USF,SHF,98.37,6678,387,5.8,96,19870830,19870911.0,0.0112507762581717,NA,NA,NA,NA,NA
1987DOE,85,DOE,1987,no,Forest,USF,SHF,100.0,932,256,27.5,121,19870830,19870907.0,0.00612260519760728,33.9,11.7,14.4,NA,NA
1987DOG_CREEK,86,DOG CREEK,1987,yes,Forest,NPS,KNP,0.0,170,11,6.3,4,19870708,19871027.0,0.0226298369442311,29.4,16.1,35.1,NA,NA
1987EAST,87,EAST,1987,no,Forest,USF,SHF,97.44,4643,932,20.1,584,19870830,19870907.0,0.00208613532706111,41.7,13.3,14.5,NA,NA
1987ELK_LICK,88,ELK LICK,1987,no,Forest,USF,KNF,100.0,448,28,6.3,12,19870830,19870907.0,0.0144359852649516,37.8,19.8,15.9,NA,NA
1987EVER,89,EVER,1987,no,Forest,USF,STF,92.16,215,161,74.8,160,19870828,19870829.0,0.00254196906766541,NA,NA,NA,NA,NA
1987FAY,90,FAY,1987,no,Forest,USF,SQF,81.37,4640,1147,24.7,664,19870830,19870905.0,0.00281403632664553,38.9,22.8,13.7,NA,NA
1987FLUME,92,FLUME,1987,no,Forest,USF,SHF,100.0,5277,813,15.4,198,19870830,19870910.0,0.00640504936585152,NA,NA,NA,NA,NA
1987FORT_COPPER,93,FORT COPPER,1987,no,Forest,USF,KNF,94.59,14703,2842,19.3,290,19870830,19871007.0,0.00582756584187584,42.2,12.2,18.0,NA,NA
1987FOUTS,94,FOUTS,1987,no,Forest,USF,MNF,91.72,6965,1752,25.2,399,19870901,19870914.0,0.00536071142909847,40.6,20.0,20.8,NA,NA
1987FRIENDLY,95,FRIENDLY,1987,no,Forest,USF,SHF,88.92,1466,407,27.7,297,19870830,19870910.0,0.00457211887687436,NA,NA,NA,NA,NA
1987FROG,96,FROG,1987,yes,Forest,NPS,YNP,0.0,1554,66,4.2,10,19870628,19871104.0,0.0199798209941104,36.1,18.3,8.6,NA,NA
1987GLASGOW,97,GLASGOW,1987,no,Forest,USF,KNF,96.56,6156,1273,20.7,480,19870830,19870922.0,0.0024930763483544,NA,NA,NA,NA,NA
1987GLEN_AULIN,98,GLEN AULIN,1987,yes,Forest,NPS,YNP,0.0,106,23,21.5,10,19870921,19871120.0,0.0164805908421668,33.9,16.7,23.1,NA,NA
1987GULCH_KNF,99,GULCH,1987,no,Forest,USF,KNF,98.74,4435,181,4.1,18,19870830,19871012.0,0.0159320608523717,42.2,12.2,9.7,NA,NA
1987GULCH_SHF,100,GULCH,1987,no,Forest,USF,SHF,89.93,2652,789,29.8,520,19870830,19870911.0,0.00387449599761072,40.0,14.4,23.7,NA,NA
1987HAMM_CMPLX,102,HAMM 87 CMPLX,1987,no,Forest,USF,STF,93.66,13624,2993,22.0,431,19870830,19870913.0,0.00491943930383619,NA,NA,NA,NA,NA
1987HASLOE_CMPLX,103,HASLOE 87 CMPLX,1987,no,Forest,USF,STF,70.47,2783,1073,38.5,790,19870901,19870907.0,0.00405407694009318,NA,NA,NA,NA,NA
1987HIGHROCK,104,HIGHROCK,1987,no,Forest,USF,MDF,95.35,455,33,7.3,17,19870901,19870912.0,0.0103839730743477,30.6,12.2,12.3,NA,NA
1987HOTELLING,105,HOTELLING,1987,no,Forest,USF,KNF,100.0,7453,696,9.3,268,19870830,19871017.0,0.00780612280044944,39.4,14.4,13.9,NA,NA
1987INDIAN,106,INDIAN,1987,no,Forest,USF,TNF,99.93,3791,1523,40.2,939,19870829,19870911.0,0.00208642129362071,35.0,16.7,11.7,NA,NA
1987JARREL,107,JARREL,1987,no,Forest,"USF,NPS",STF,22.55,742,25,3.3,13,19870903,19870912.0,0.0149624928119349,NA,NA,NA,NA,NA
1987JESSIE,109,JESSIE,1987,no,Forest,USF,SHF,61.0,1385,148,10.7,37,19870830,19870912.0,0.0117015515902741,NA,NA,NA,NA,NA
1987KELSEY,110,KELSEY,1987,no,Forest,USF,KNF,96.4,1753,96,5.5,46,19870830,19870925.0,0.00924270677042257,37.8,12.8,25.3,NA,NA
1987KING_TITUS,111,KING TITUS,1987,no,Forest,USF,KNF,99.21,28891,2092,7.2,132,19870830,19871018.0,0.0101770669558678,42.2,12.2,18.9,NA,NA
1987LAKE,112,LAKE,1987,no,Forest,USF,KNF,99.79,7655,247,3.2,41,19870830,19870928.0,0.0131608523916823,42.2,12.2,18.5,NA,NA
1987LARSON_CMPLX,113,LARSON 87 CMPLX,1987,no,Forest,USF,STF,93.35,19551,3752,19.2,754,19870830,19870910.0,0.00468796356409194,NA,NA,NA,NA,NA
1987LAUREL,115,LAUREL,1987,no,Forest,USF,INF,85.1,469,112,23.9,51,19870830,19870904.0,0.0105148315692118,26.1,12.2,50.7,NA,NA
1987LAZYMAN,116,LAZYMAN,1987,no,Forest,USF,SHF,100.0,606,20,3.3,8,19870901,19870921.0,0.0199251883750033,37.8,12.2,30.0,NA,NA
1987LIGHTNING120,117,LIGHTNING #120 (CRANK),1987,no,Forest,CDF,LMU,12.39,1725,853,49.5,661,19870831,19870908.0,0.00210651191497664,35.6,8.3,22.5,NA,NA
1987LOST,118,LOST,1987,no,Forest,USF,LNF,95.64,9672,4685,48.4,1674,19870831,19870908.0,0.00164237596867033,37.8,12.2,19.5,NA,NA
1987LOST_BEAR,119,LOST BEAR,1987,yes,Forest,NPS,YNP,0.0,809,33,4.1,5,19870723,19871120.0,0.0229766905876468,37.2,19.4,9.6,NA,NA
1987MAMMOTH,120,MAMMOTH,1987,no,Forest,USF,INF,99.82,183,36,19.8,36,19870822,19870825.0,0.00730380369389973,19.4,3.9,50.7,NA,NA
1987MENDENHALL,121,MENDENHALL,1987,no,Forest,CDF,MEU,57.86,21919,8586,39.2,4875,19870831,19870917.0,0.00114660561368948,41.7,15.6,21.4,NA,NA
1987NIELON,122,NIELON,1987,no,Forest,USF,KNF,100.0,649,199,30.6,186,19870830,19870921.0,0.00290618697399389,NA,NA,NA,NA,NA
1987PALMER,123,PALMER,1987,no,Forest,USF,TNF,57.56,862,187,21.7,105,19870829,19870908.0,0.00668563532592155,27.2,16.7,9.1,NA,NA
1987PAPER_CMPLX,126,PAPER 87 CMPLX,1987,no,Forest,USF,STF,71.61,15232,4120,27.1,1775,19870831,19871012.0,0.00294865504851201,33.9,23.9,19.9,NA,NA
1987PEANUT,127,PEANUT,1987,no,Forest,USF,SHF,84.67,2608,599,23.0,208,19870830,19870912.0,0.00667322038651171,NA,NA,NA,NA,NA
