OBJECTID17,VB_ID,FIRE_NAME,FIRE_YEAR,VEG,WFU,AGENCY,ICS_CODE,PCT_FS,FRAP,DOTHESE,COMMENT
406,1999ELEANOR,ELEANOR,1999,Forest,yes,NPS,YNP,0.0,y,<1%HS,
452,1999WOODLAND,WOODLAND,1999,Forest,no,CDF,BTU,0.0,y,<1%HS,
587,2003PARADISE2,PARADISE 2,2003,Forest,no,NPS,KNP,0.0,y,<1%HS,
648,2005HORSESHOE,HORSESHOE,2005,Forest,yes,NPS,LNP,0.0,y,<1%HS,
694,2006ROARING_RIDGE,ROARING & RIDGE,2006,Forest,yes,NPS,KNP,0.0,y,<1%HS,
724,2007JACK,JACK WF,2007,Forest,no,NPS,YNP,0.0,y,<1%HS,
761,2008CLIF_RIDGE,CLIFF RIDGE,2008,Forest,no,CDF,MEU,0.0,y,<1%HS,
786,2008INDIAN,INDIAN,2008,Forest,no,CDF,MEU,0.0,y,<1%HS,
796,2008LOW_GAP,LOW GAP,2008,Forest,no,CDF,MEU,0.0,y,<1%HS,
797,2008LOWER,LOWER,2008,Forest,no,CDF,SHF,0.0,y,<1%HS,
799,2008MIDDLE,MIDDLE,2008,Forest,no,CDF,MEU,0.0,y,<1%HS,
812,2008ORR_SERIES,ORR SERIES,2008,Forest,no,CDF,MEU,0.0,y,<1%HS,
814,2008PARADISE,PARADISE,2008,Forest,no,CDF,HUU,0.0,y,<1%HS,
897,2010SLOPE,SLOPE,2010,Forest,yes,NPS,YNP,0.0,y,<1%HS,
898,2010VERNON,VERNON,2010,Forest,yes,NPS,YNP,0.0,y,<1%HS,
902,2011AVALANCHE,AVALANCHE,2011,Forest,no,NPS,YNP,0.0,y,<1%HS,
768,2008DEADSHOT,DEADSHOT,2008,Forest,no,USF,SHF,36.3,y,<50%FS,
937,2012MILL_CDF,MILL,2012,Forest,no,CDF,BTU,40.6,y,<50%FS,
1026,2015LOWELL,LOWELL,2015,Forest,no,CDF,NEU,21.6,y,<50%FS,
482,2001BURNT,BURNT,2001,Forest,yes,NPS,KNP,0.0,y,done,
493,2001HOOVER,HOOVER,2001,Forest,yes,NPS,YNP,0.0,y,done,
545,2002PALISADE,PALISADE,2002,Forest,yes,NPS,KNP,0.0,y,done,
595,2003TUOLUMNE,TUOLUMNE,2003,Forest,no,NPS,YNP,0.0,y,done,
597,2003WHISKEY,WHISKEY,2003,Forest,yes,NPS,YNP,0.0,y,done,
603,2004BLUFF,BLUFF,2004,Forest,yes,NPS,LNP,0.0,y,done,
618,2004HETCHY,HETCHY,2004,Forest,no,NPS,YNP,0.0,y,done,
623,2004MEADOW,MEADOW WFU,2004,Forest,yes,NPS,YNP,0.0,y,done,
655,2005WAPAMA,WAPAMA,2005,Forest,yes,NPS,YNP,0.0,y,done,
669,2006FROG,FROG,2006,Forest,yes,NPS,YNP,0.0,y,done,
783,2008HIDDEN,HIDDEN,2008,Forest,no,NPS,KNP,0.0,y,done,
856,2009FAIRFIELD,FAIRFIELD,2009,Forest,yes,NPS,LNP,0.0,y,done,
860,2009GROUSE,GROUSE,2009,Forest,yes,NPS,YNP,0.0,y,done,
861,2009HARDEN,HARDEN,2009,Forest,yes,NPS,YNP,0.0,y,done,
881,2009WILDCAT,WILDCAT,2009,Forest,yes,NPS,YNP,0.0,y,done,
926,2012CASCADE,CASCADE,2012,Forest,yes,NPS,YNP,0.0,y,done,
938,2012NORTH_PASS,NORTH PASS,2012,Forest,no,USF,MNF,74.0,y,done,
948,2012STAFFORD,STAFFORD,2012,Forest,no,USF,SHF,93.3,y,done,
1027,2015LUMPKIN,LUMPKIN,2015,Forest,no,CDF,BTU,81.0,y,done,
1036,2015PINE,PINE,2015,Forest,no,USF,SRF,98.0,y,done,
834,2008SUMMIT,SUMMIT,2008,Forest,no,CDF,SCU,0.0,y,no,Santa Cruz Mtns
425,1999LOST_BEAR,LOST BEAR,1999,Forest,yes,NPS,YNP,0.0,y,redo,
397,1999CANYON4,CANYON #4,1999,Forest,no,CDF,SHU,0.0,y,yes,
427,1999LOWDEN,LOWDEN,1999,Forest,no,CDF,SHU,0.0,y,yes,
444,1999SOUTH,SOUTH,1999,Forest,no,CDF,BTU,0.0,y,yes,
459,2000CONCOW,CONCOW,2000,Forest,no,CDF,BTU,0.0,y,yes,
460,2000GOAT,GOAT,2000,Forest,no,CDF,LMU,0.0,y,yes,
496,2001LEONARD,LEONARD,2001,Forest,no,CDF,TCU,0.0,y,yes,
504,2001PONDEROSA,PONDEROSA,2001,Forest,no,CDF,NEU,0.0,y,yes,
564,2003CANOE,CANOE,2003,Forest,no,CDF,HUU,0.0,y,yes,
577,2003HONEYDEW,HONEYDEW,2003,Forest,no,CDF,HUU,0.0,y,yes,
599,2003WHITMORE,WHITMORE,2003,Forest,no,CDF,SHU,0.0,y,yes,
686,2006NOBLE,NOBLE,2006,Forest,no,CDF,MEU,0.0,y,yes,
765,2008COWSHED_LIGHTNING,COWSHED LIGHTNING,2008,Forest,no,CDF,MEU,0.0,y,yes,
766,2008CRAIG,CRAIG,2008,Forest,no,CDF,BTU,0.0,y,yes,
781,2008HARDY_CREEK,HARDY CREEK LIGHTNING,2008,Forest,no,CDF,MEU,0.0,y,yes,
790,2008JACK_SMITH,JACK SMITH,2008,Forest,no,CDF,MEU,0.0,y,yes,
795,2008LOST_PIPE,LOST PIPE,2008,Forest,no,CDF,MEU,0.0,y,yes,
804,2008MOON,MOON,2008,Forest,no,CDF,SHF,0.0,y,yes,
807,2008NAVAROO,NAVAROO,2008,Forest,no,CDF,MEU,0.0,y,yes,
817,2008PINE2,PINE 2,2008,Forest,no,CDF,SHF,0.0,y,yes,
833,2008SUGARLOAF,SUGARLOAF,2008,Forest,no,CDF,MEU,0.0,y,yes,
853,2009COFFIN,COFFIN,2009,Forest,no,CDF,SHU,0.0,y,yes,
882,2009YUBA,YUBA,2009,Forest,no,CDF,NEU,0.0,y,yes,
940,2012PONDEROSA,PONDEROSA,2012,Forest,no,CDF,TGU,0.0,y,yes,
944,2012ROBBERS,ROBBERS,2012,Forest,no,CDF,NEU,0.0,y,yes,
1012,2015BUTTE,BUTTE,2015,Forest,no,CDF,AEU,0.0,y,yes,
1045,2015STEELHEAD,STEELHEAD,2015,Forest,no,CDF,HUU,0.0,y,yes,
839,2008TRAVIS1,TRAVIS 1,2008,Forest/Grass,no,CDF,MEU,0.0,y,<1%HS,
404,1999DOE_MILL,DOE MILL,1999,Forest/Shrub,no,CDF,BTU,0.0,y,no,
530,2002CROY,CROY,2002,Forest/Shrub,no,CDF,SCU,0.0,y,no,Santa Cruz Mtns
533,2002FIELD,FIELD,2002,Forest/Shrub,no,CDF,NEU,0.0,y,no,all high severity is shrub
666,2006CREEK_INCIDENT,CREEK INCIDENT,2006,Forest/Shrub,no,CDF,LMU,0.0,y,yes,eastside pine
820,2008RED_MOUNTAIN,RED MOUNTAIN LIGHTNING,2008,Forest/shrub,no,CDF,MEU,0.0,y,yes,
656,2005WILDHORSE,WILDHORSE,2005,Grass,no,NPS,MNP,0.0,y,done,
408,1999FIRE3,FIRE #3,1999,Grass,no,NPS,JTP,0.0,y,no,
417,1999JUNIPER,JUNIPER,1999,Grass,no,NPS,JTP,0.0,y,no,
621,2004IRONGATE,IRONGATE,2004,Grass,no,CDF,SKU,0.0,y,no,
645,2005HALLORAN,HALLORAN,2005,Grass,no,NPS,MNP,0.0,y,no,
651,2005MILLWOOD,MILLWOOD,2005,Grass,no,CDF,TUU,0.0,y,no,
690,2006PUSHWALLA,PUSHWALLA,2006,Grass,no,NPS,JTP,0.0,y,no,
841,2008TWENTY,TWENTY,2008,Grass,no,CDF,NEU,0.0,y,no,
906,2011BRECKENRIDGE_CMPLX,BRECKENRIDGE COMPLEX,2011,Grass,no,CDF,KRN,3.4,y,no,
638,2005THIRTYSIX,36,2005,Grass/Shrub,no,CDF,TGU,0.0,y,no,
654,2005TOVEY,TOVEY,2005,Grass/Shrub,no,CCO,LAC,0.0,y,no,
562,2003ANNIE,ANNIE,2003,Hardwood,no,CDF,SCU,0.0,y,no,
571,2003DEVIL,DEVIL,2003,Hardwood,no,CDF,SCU,0.0,y,no,
580,2003KINKAID,KINKAID,2003,Hardwood,no,CDF,SCU,0.0,y,no,
844,2008WILD,WILD,2008,Hardwood,no,CDF,LNU,0.0,y,no,
850,2009BRYSON,BRYSON,2009,Hardwood,no,CDF,BEU,0.0,y,no,
947,2012SIXTEEN_CMPLX,SIXTEEN COMPLEX,2012,Hardwood,no,CDF,LNU,0.0,y,no,
977,2013SWEDES,SWEDES,2013,Hardwood,no,CDF,BTU,0.0,y,no,
422,1999LECONTE,LECONTE,1999,Hardwood,yes,NPS,YNP,0.0,y,redo,changed veg from forest
639,2005BAILEY,BAILEY,2005,Hardwood woodland,no,CDF,MMU,0.0,y,<1%HS,
742,2007WHITE,WHITE,2007,Hardwood/Grass,no,CCO,KRN,0.0,y,no,
792,2008KIRKMAN,KIRKMAN,2008,Hardwood/grass,no,CDF,SHF,0.0,y,no,
867,2009LOCKHEED,LOCKHEED,2009,Hardwood/Redwood,no,CDF,CZU,0.0,y,no,Central coast
928,2012CLEAR,CLEAR,2012,Hardwood/Shrub,no,CCO,KRN,91.8,y,done,"change veg type from Forest; there is some JP, but mostly hardwood/shrub"
616,2004GATOS,GATOS,2004,Hardwood/Shrub,no,CDF,FKU,0.0,y,no,
620,2004HWY4_2,HWY 4 #2,2004,Hardwood/Shrub,no,CDF,TCU,0.0,y,no,
622,2004KINCAID,KINCAID,2004,Hardwood/Shrub,no,CDF,SCU,0.0,y,no,
625,2004OLD_HWY,OLD HWY/MPUD 149,2004,Hardwood/Shrub,no,CDF,MMU,0.0,y,no,
626,2004OREGON,OREGON,2004,Hardwood/Shrub,no,CDF,BTU,0.0,y,no,
627,2004PATTISON,PATTISON,2004,Hardwood/Shrub,no,CDF,TCU,0.0,y,no,
634,2004STEVENS,STEVENS,2004,Hardwood/Shrub,no,CDF,NEU,0.0,y,no,
692,2006RICO,RICO,2006,Hardwood/Shrub,no,CDF,BEU,0.0,y,no,
726,2007LICK,LICK,2007,Hardwood/Shrub,no,CDF,SCU,0.0,y,no,
739,2007TAR,TAR,2007,Hardwood/Shrub,no,CDF,FKU,0.0,y,no,
754,2008BUTCH,BUTCH,2008,Hardwood/Shrub,no,CDF,MEU,0.0,y,no,
769,2008DEERLICK,DEERLICK,2008,Hardwood/Shrub,no,USF,SHF,4.2,y,no,
899,2010WEST,WEST,2010,Hardwood/Shrub,no,CCO,KRN,0.0,y,no,
912,2011INDIAN,INDIAN,2011,Hardwood/Shrub,no,CCO,KRN,0.0,y,no,
929,2012DALE,DALE,2012,Hardwood/Shrub,no,CDF,SHU,0.0,y,no,
933,2012JAWBONE_BRANCH,JAWBONE BRANCH,2012,Hardwood/Shrub,no,BLM,CDD,0.0,y,no,
943,2012RIM_BRANCH,RIM BRANCH,2012,Hardwood/Shrub,no,BLM,CDD,0.0,y,no,
951,2012WYE,WYE,2012,Hardwood/Shrub,no,CDF,LNU,0.0,y,no,
